Genes	Transcription Units	Pathways of gene	GO terms (biological process)	GO terms (cellular component)	GO terms (molecular function)	Names
G185E-6993	TU185E-6598			GO:0005829 // GO:0005886 // GO:0005737 // GO:0005618		35kd_ag // Rv2744c
G185E-4384	TU185E-5295		GO:0046677 // GO:0030649	GO:0005886	GO:0047921 // GO:0034069 // GO:0016746 // GO:0016740 // GO:0008080	aac // Rv0262c
G185E-6102	TU185E-6153		GO:0019478 // GO:0046416	GO:0005737	GO:0071949 // GO:0016491 // GO:0003884	aao // Rv1905c
G185E-6737	TU185E-6472	PROPIONMET-PWY // PWY0-1264	GO:0006552 // GO:0008152 // GO:0006633 // GO:0006631 // GO:0006629	GO:0005829 // GO:0005886	GO:0016421 // GO:0046872 // GO:0016874 // GO:0005524 // GO:0004075 // GO:0003824 // GO:0000166	accA1 // bccA // Rv2501c
G185E-5129	TU185E-5671	PROPIONMET-PWY // PWY0-1264 // PWY-4381 // PWY-6113 // PWY-5966-1	GO:0040007	GO:0005829 // GO:0005886	GO:0016421 // GO:0016874 // GO:0000166 // GO:0046872 // GO:0005524 // GO:0004075	accA2 // bccA // Rv0973c
G185E-7559	TU185E-6858	PWY0-1264 // PWY-4381	GO:0006631 // GO:0006629 // GO:0006633 // GO:0040007 // GO:0015977	GO:0005829 // GO:0009317 // GO:0005886 // GO:0005618	GO:0016874 // GO:0000166 // GO:0046872 // GO:0005524 // GO:0005515 // GO:0004658 // GO:0004075 // GO:0003989	accA3 // Rv3285
G185E-6738	TU185E-6472	PROPIONMET-PWY // PWY0-1264 // PWY-4381 // PWYG-321 // PWY-6113 // PWY-5966-1	GO:0006552	GO:1905202 // GO:0005829	GO:0016740 // GO:0004485 // GO:0016874	accD1 // Rv2502c
G185E-5130	TU185E-5671	PROPIONMET-PWY // PWYG-321 // PWY-6113 // PWY-5966-1	GO:0006552 // GO:0071768	GO:1905202 // GO:0005829	GO:0016740 // GO:0004485 // GO:0016874	accD2 // Rv0974c
G185E-5058	TU185E-5632	PWY-6113 // PWY-5966-1 // PWY0-1264 // PWY-4381	GO:0071768 // GO:0006633 // GO:0006631 // GO:0006629	GO:0009317 // GO:0005886	GO:0016740 // GO:0016874 // GO:0005524 // GO:0005515 // GO:0003989 // GO:0000166	accD3 // Rv0904c
G185E-8095	TU185E-7132	PWY-6113 // PWYG-321	GO:0009062 // GO:0071769 // GO:0040007 // GO:0015977	GO:0005829 // GO:0009317 // GO:0005886 // GO:0005618	GO:0016740 // GO:0016421 // GO:0016874 // GO:0005515 // GO:0004658 // GO:0003989	accD4 // Rv3799c
G185E-7554	TU185E-6857	PWY-6113 // PWYG-321	GO:0006629 // GO:0009062 // GO:0015977	GO:0005829 // GO:0032991 // GO:0009317 // GO:0005886 // GO:0005618	GO:0016740 // GO:0042802 // GO:0016874 // GO:0005524 // GO:0005515 // GO:0004658 // GO:0003989 // GO:0000166	accD5 // Rv3280
G185E-6463	TU185E-6320	PWY0-1264 // PWY-4381	GO:0006631 // GO:0006629 // GO:0006633 // GO:0009062 // GO:0040007 // GO:0019367	GO:0005829 // GO:0009317 // GO:0005618	GO:0016740 // GO:0016874 // GO:0005524 // GO:0005515 // GO:0004658 // GO:0003989 // GO:0000166	accD6 // Rv2247
G185E-7555	TU185E-6857	PWY0-1264 // PWY-4381 // PROPIONMET-PWY // PWY-6113 // PWY-5966-1	GO:0040007 // GO:0015977	GO:0009317 // GO:0005618	GO:0005515 // GO:0004658 // GO:0003989	accE5 // Rv3281
G185E-6112	TU185E-6158	GLYOXYLATE-BYPASS // PWY-6969	GO:0019752 // GO:0006102 // GO:0006097	GO:0005829	GO:0046421 // GO:0016829 // GO:0004451 // GO:0003824	aceAa // icl2a // Rv1915
G185E-6113	TU185E-6158	GLYOXYLATE-BYPASS // PWY-6969	GO:0019752		GO:0016829 // GO:0004451 // GO:0003824	aceAb // icl2b // Rv1916
G185E-6456	TU185E-6317	PWY-5482 // PYRUVDEHYD-PWY	GO:0006096	GO:0009274 // GO:0005829 // GO:0045254 // GO:0005886 // GO:0005618 // GO:0005576	GO:0016491 // GO:0005515 // GO:0004739 // GO:0003824 // GO:0000287	aceE // Rv2241
G185E-6235	TU185E-7445		GO:0052572 // GO:0001666	GO:0005886 // GO:0005829 // GO:0005618	GO:0016491	acg // Rv2032
G185E-4534	TU185E-5364	PWY-5485 // ACETATEUTIL-PWY // PWY0-1312 // PWY-5482	GO:0006083 // GO:0016310 // GO:0006085 // GO:0006082	GO:0005829 // GO:0005737	GO:0000287 // GO:0046872 // GO:0016774 // GO:0016740 // GO:0016301 // GO:0008776 // GO:0005524 // GO:0000166	ackA // Rv0409
G185E-5659	TU185E-5932	GLYOXYLATE-BYPASS // PWY-6969	GO:0006101 // GO:0040007 // GO:0019679 // GO:0010039 // GO:0006099	GO:0005886 // GO:0005829 // GO:0005618 // GO:0005576	GO:0047780 // GO:0051539 // GO:0051536 // GO:0047456 // GO:0046872 // GO:0030350 // GO:0016829 // GO:0003994 // GO:0003730 // GO:0003729 // GO:0003723	acn // Rv1475c
G185E-4147	TU185E-5174		GO:0009245 // GO:0006633	GO:0005829	GO:0031177 // GO:0000036 // GO:0000035	acpA // acpP // Rv0033
G185E-6460	TU185E-6320		GO:0009245 // GO:0040007 // GO:0006637 // GO:0006633 // GO:0006631 // GO:0006629	GO:0005886 // GO:0005829 // GO:0005737 // GO:0005618	GO:0031177 // GO:0005515 // GO:0000036 // GO:0000035	acpM // Rv2244
G185E-6761	TU185E-6482	PWY-6012-1	GO:0018215 // GO:0006633 // GO:0006631 // GO:0006629	GO:0005737	GO:0046872 // GO:0016740 // GO:0008897 // GO:0000287	acpS // Rv2523c
G185E-7667	TU185E-6913			GO:0016020 // GO:0005829 // GO:0005886	GO:0016491	acrA1 // Rv3391
G185E-7950	TU185E-7224	ACETATEUTIL-PWY // PWY0-1313 // PWY66-21	GO:0006085 // GO:0019427	GO:0005829 // GO:0005886 // GO:0005618	GO:0046872 // GO:0016874 // GO:0016208 // GO:0005524 // GO:0003987 // GO:0000166	acs // Rv3667
G185E-7175	TU185E-6683				GO:0016787 // GO:0003998	acyP // Rv2922A
G185E-7588	TU185E-6872	PWY-6609 // PWY0-1296 // PWY0-1297 // PWY-7179	GO:0046103 // GO:0043103 // GO:0006154 // GO:0009168 // GO:0009117	GO:0005829	GO:0008270 // GO:0046872 // GO:0019239 // GO:0016787 // GO:0004000	add // Rv3313c
G185E-5718	TU185E-5961		GO:0046187	GO:0005886 // GO:0005829 // GO:0005618	GO:0018455 // GO:0016616 // GO:0004022 // GO:0046872 // GO:0016491 // GO:0008270	adh // Rv1530
G185E-6057	TU185E-6128	PWY66-21 // PWY-5486 // ETOH-ACETYLCOA-ANA-PWY		GO:0005829	GO:0018455 // GO:0016616 // GO:0046872 // GO:0016491 // GO:0008270 // GO:0004022	adhA // Rv1862
G185E-4909	TU185E-5560		GO:0046294	GO:0005829 // GO:0005886 // GO:0005737	GO:0018455 // GO:0051903 // GO:0004024 // GO:0046872 // GO:0016491 // GO:0008270 // GO:0004022	adhB // Rv0761c
G185E-7306	TU185E-6740			GO:0005886 // GO:0005829 // GO:0005618	GO:0016616 // GO:0046872 // GO:0016491 // GO:0008270 // GO:0008106	adhC // Rv3045
G185E-7348	TU185E-6763	PWY66-21 // PWY-5486 // ETOH-ACETYLCOA-ANA-PWY	GO:0046294 // GO:0010447 // GO:0051701 // GO:0001101	GO:0005829 // GO:0005618	GO:0018455 // GO:0051903 // GO:0004024 // GO:0046872 // GO:0016491 // GO:0008270 // GO:0004022	adhD // Rv3086
G185E-4280	TU185E-7695			GO:0005829	GO:0046872 // GO:0016491 // GO:0008270	adhE1 // Rv0162c
G185E-4878	TU185E-5540	PWY-7229 // PWY-6126 // PWY-7219	GO:0006163 // GO:0046940 // GO:0044209 // GO:0016310 // GO:0009165 // GO:0009141 // GO:0009132 // GO:0009123 // GO:0006165 // GO:0006144 // GO:0006139	GO:0005886 // GO:0005829 // GO:0005737 // GO:0005618	GO:0019205 // GO:0016740 // GO:0016301 // GO:0005524 // GO:0004550 // GO:0004017 // GO:0000166	adk // Rv0733
G185E-6412	TU185E-7416	PWY-6619	GO:0046835 // GO:0044209 // GO:0016310 // GO:0006166	GO:0005737 // GO:0005829 // GO:0005886	GO:0019200 // GO:0032567 // GO:0016773 // GO:0016740 // GO:0016301 // GO:0005525 // GO:0005524 // GO:0005515 // GO:0004001 // GO:0000287 // GO:0000166	adoK // Rv2202c
