"","row_var","row_cat","col_var","col_cat","n","n_row","n_total","percent_total","se_total","t_crit_total","lcl_total","ucl_total","percent_row","se_row","t_crit_row","lcl_row","ucl_row"
"1","mdr","0","num_strains_am_mutations","0",38,41,76,50,5.77350269189626,1.99210215400224,38.6972471354554,61.3027528645446,92.6829268292683,4.11754707710588,1.99210215400224,79.0750290564469,97.6988793229838
"2","mdr","0","num_strains_am_mutations","1",3,41,76,3.94736842105263,2.24842203824146,1.99210215400224,1.24540073846009,11.8103464550485,7.31707317073171,4.11754707710589,1.99210215400224,2.30112067701617,20.9249709435531
"3","mdr","1","num_strains_am_mutations","0",35,35,76,46.0526315789474,5.75548235169272,1.99210215400224,34.9844971649225,57.5242362629349,100,0,1.99210215400224,NA,NA
"4","mdr","0","num_strains_bdq_mutations","0",111,115,165,67.2727272727273,3.66397499439124,1.97453457585847,59.6750956515695,74.0611025094849,96.5217391304348,1.71609457750597,1.97453457585847,91.0024946146987,98.7036024219435
"5","mdr","0","num_strains_bdq_mutations","1",4,115,165,2.42424242424242,1.20098356818623,1.97453457585847,0.903468271233298,6.34107580802795,3.47826086956522,1.71609457750597,1.97453457585847,1.29639757805652,8.9975053853013
"6","mdr","1","num_strains_bdq_mutations","0",50,50,165,30.3030303030303,3.58862480009171,1.97453457585847,23.7142618938964,37.814978489612,100,0,1.97453457585847,NA,NA
"7","mdr","0","num_strains_cm_mutations","0",120,125,222,54.0540540540541,3.35229012403266,1.97075627048947,47.4150134649442,60.5522494113011,96,1.75976538025624,1.97075627048947,90.6777749690265,98.3393198690815
"8","mdr","0","num_strains_cm_mutations","1",5,125,222,2.25225225225225,0.998080930118086,1.97075627048947,0.934135252060897,5.33023217170361,4,1.75976538025624,1.97075627048947,1.66068013091846,9.32222503097345
"9","mdr","1","num_strains_cm_mutations","0",94,97,222,42.3423423423423,3.32368456556789,1.97075627048947,35.961498994586,48.9892533022551,96.9072164948454,1.76692128876316,1.97075627048947,90.7446472317912,99.011220944936
"10","mdr","1","num_strains_cm_mutations","1",3,97,222,1.35135135135135,0.776664712334825,1.97075627048947,0.432662379842791,4.13962648005635,3.09278350515464,1.76692128876316,1.97075627048947,0.988779055063998,9.25535276820883
"11","mdr","0","num_strains_cfz_mutations","0",90,95,144,62.5,4.0484392226956,1.97669219792979,54.2245254126816,70.1042355666487,94.7368421052632,2.3031314447036,1.97669219792979,87.8395839871781,97.8191749700601
"12","mdr","0","num_strains_cfz_mutations","1",5,95,144,3.47222222222222,1.53095311750037,1.97669219792979,1.43728225171597,8.15004425472574,5.26315789473684,2.3031314447036,1.97669219792979,2.18082502993992,12.1604160128218
"13","mdr","1","num_strains_cfz_mutations","0",49,49,144,34.0277777777778,3.96213557348622,1.97669219792979,26.6796974251426,42.2339089047081,100,0,1.97669219792979,NA,NA
"14","mdr","0","num_strains_cs_mutations","0",129,137,245,52.6530612244898,3.19641273452328,1.96973399227238,46.348209906215,58.8744249044314,94.1605839416058,2.01071180317185,1.96973399227238,88.6960372052685,97.0707107344806
"15","mdr","0","num_strains_cs_mutations","1",8,137,245,3.26530612244898,1.13777966868535,1.96973399227238,1.63325097801563,6.42175274329084,5.83941605839416,2.01071180317185,1.96973399227238,2.92928926551939,11.3039627947315
"16","mdr","1","num_strains_cs_mutations","0",103,108,245,42.0408163265306,3.1601069934496,1.96973399227238,35.9725906231338,48.3595351955804,95.3703703703704,2.03136502252144,1.96973399227238,89.2742577349771,98.0763383213022
"17","mdr","1","num_strains_cs_mutations","1",5,108,245,2.04081632653061,0.905168903209681,1.96973399227238,0.846727318608757,4.83671430218673,4.62962962962963,2.03136502252144,1.96973399227238,1.92366167869783,10.7257422650229
"18","mdr","0","num_strains_e_mutations","0",225,231,298,75.503355704698,2.4955035980899,1.96798352537622,70.2684703652162,80.0778452657703,97.4025974025974,1.04879591310032,1.96798352537622,94.3133711150286,98.8343617019067
"19","mdr","0","num_strains_e_mutations","1",6,231,298,2.01342281879195,0.815028062213296,1.96798352537622,0.90311991860182,4.42775075319663,2.5974025974026,1.04879591310032,1.96798352537622,1.16563829809332,5.68662888497135
"20","mdr","1","num_strains_e_mutations","0",65,67,298,21.8120805369128,2.39629427456468,1.96798352537622,17.4628877558064,26.8915418435753,97.0149253731343,2.09471482169324,1.96798352537622,88.6728976527023,99.2643038973748
"21","mdr","1","num_strains_e_mutations","1",2,67,298,0.671140939597315,0.473768699333093,1.96798352537622,0.166572323173181,2.66333723570073,2.98507462686567,2.09471482169325,1.96798352537622,0.735696102625146,11.3271023472978
"22","mdr","0","num_strains_eto_mutations","0",139,147,258,53.8759689922481,3.10952901232436,1.96923749623368,47.7249124140168,59.9112190715612,94.5578231292517,1.87740785663448,1.96923749623368,89.440983195023,97.2707353136882
"23","mdr","0","num_strains_eto_mutations","1",8,147,258,3.10077519379845,1.08125649738696,1.96923749623368,1.55094216563423,6.10332017782964,5.4421768707483,1.87740785663449,1.96923749623368,2.72926468631181,10.559016804977
