"","row_var","row_cat","col_var","col_cat","n","n_row","n_total","percent_total","se_total","t_crit_total","lcl_total","ucl_total","percent_row","se_row","t_crit_row","lcl_row","ucl_row"
"1","pansusceptible","0","num_strains_am_mutations","0",71,73,76,93.421052631579,2.8626612056282,1.99210215400224,84.8821335030262,97.2909225947108,97.2602739726027,1.92377848702657,1.99210215400224,89.3909964304435,99.3358464877877
"2","pansusceptible","0","num_strains_am_mutations","1",2,73,76,2.63157894736842,1.84836030751802,1.99210215400224,0.638155881309613,10.2119347783145,2.73972602739726,1.92377848702657,1.99210215400224,0.664153512212246,10.6090035695565
"3","pansusceptible","1","num_strains_am_mutations","0",2,3,76,2.63157894736842,1.84836030751802,1.99210215400224,0.638155881309613,10.2119347783145,66.6666666666667,33.3333333333333,1.99210215400224,9.15374031474504,97.5428758482685
"4","pansusceptible","1","num_strains_am_mutations","1",1,3,76,1.31578947368421,1.31578947368421,1.99210215400224,0.176797373960496,9.12203541379889,33.3333333333333,33.3333333333333,1.99210215400224,2.45712415173155,90.846259685255
"5","pansusceptible","0","num_strains_bdq_mutations","0",133,137,165,80.6060606060606,3.08741451365621,1.97453457585847,73.7816002190705,85.9914319383416,97.0802919708029,1.44366289638939,1.97453457585847,92.4027769730482,98.9118341228658
"6","pansusceptible","0","num_strains_bdq_mutations","1",4,137,165,2.42424242424242,1.20098356818623,1.97453457585847,0.903468271233298,6.34107580802795,2.91970802919708,1.44366289638939,1.97453457585847,1.08816587713417,7.59722302695183
"7","pansusceptible","1","num_strains_bdq_mutations","0",28,28,165,16.969696969697,2.93111886749831,1.97453457585847,11.9356742377054,23.558896061342,100,0,1.97453457585847,NA,NA
"8","pansusceptible","0","num_strains_cm_mutations","0",210,217,222,94.5945945945946,1.52107685857758,1.97075627048947,90.6864864002887,96.91851762383,96.7741935483871,1.20218708467731,1.97075627048947,93.353220811116,98.4634364235239
"9","pansusceptible","0","num_strains_cm_mutations","1",7,217,222,3.15315315315315,1.1754905407313,1.97075627048947,1.50184566226155,6.50028272080956,3.2258064516129,1.20218708467731,1.97075627048947,1.53656357647607,6.646779188884
"10","pansusceptible","1","num_strains_cm_mutations","0",4,5,222,1.8018018018018,0.894765295566521,1.97075627048947,0.672734196650866,4.73547115581152,80,20,1.97075627048947,25.4045546345754,97.915834411282
"11","pansusceptible","1","num_strains_cm_mutations","1",1,5,222,0.45045045045045,0.45045045045045,1.97075627048947,0.0624561235756829,3.17226084165657,20,20,1.97075627048947,2.08416558871806,74.5954453654246
"12","pansusceptible","0","num_strains_cfz_mutations","0",131,136,144,90.9722222222222,2.3964965777907,1.97669219792979,84.9852761445654,94.7202507974779,96.3235294117647,1.61962643803913,1.97669219792979,91.3860797094274,98.4779959157011
"13","pansusceptible","0","num_strains_cfz_mutations","1",5,136,144,3.47222222222222,1.53095311750037,1.97669219792979,1.43728225171597,8.15004425472574,3.67647058823529,1.61962643803913,1.97669219792979,1.52200408429892,8.61392029057264
