sample	tb_profiler_strain	mixed_strain
DRR019435	lineage2.2.1	no
DRR019436	lineage2.2.1	no
DRR019437	lineage2.2.1	no
DRR019438	lineage2.2.1	no
DRR019439	lineage2.2.1	no
DRR019440	lineage2.2.1	no
DRR019441	lineage2.2.1	no
DRR019442	lineage2.2.1	no
DRR019443	lineage2.2.1	no
DRR019444	lineage2.2.1	no
ERR023728	lineage4.1.2.1	no
ERR023729	lineage4.7	no
ERR023730	lineage4.1.2.1	no
ERR023731	lineage4.1.2.1	no
ERR023732	lineage4.1.2.1	no
ERR023733	lineage4.7	no
ERR023734	lineage4.7	no
ERR023735	lineage4.7	no
ERR023736	lineage4.7	no
ERR023737	lineage4.7	no
ERR023738	lineage4.7	no
ERR023739	lineage4.1.2.1	no
ERR023740	lineage4.1.2.1	no
ERR023741	lineage4.1.2.1;lineage3	yes
ERR023742	lineage3.1.3	no
ERR023743	lineage3	no
ERR023744	lineage4.1.2.1	no
ERR023745	lineage3.1.3	no
ERR023746	lineage4.1.2.1	no
ERR023747	lineage4.1.2.1	no
ERR023748	lineage4.1.2.1	no
ERR023749	lineage3	no
ERR023750	lineage3	no
ERR023751	lineage3	no
ERR023752	lineage3	no
ERR023753	lineage4.3.2	no
ERR023754	lineage4.1.2.1	no
ERR023755	lineage4.3.2	no
ERR023756	lineage4.3.2	no
ERR023757	lineage4.1.2.1	no
ERR023758	lineage4.1.2.1	no
ERR023759	lineage4.1.2.1	no
ERR023760	lineage4.1.2.1	no
ERR023761	lineage4.3.2	no
ERR023762	lineage4.3.2	no
ERR023763	lineage1.2.1.2.1	no
ERR023764	lineage4.3.2	no
ERR024336	lineage4.3.2	no
ERR024337	lineage4.3.2	no
ERR024338	lineage4.3.2	no
ERR024339	lineage4.3.2	no
ERR024340	lineage4.3.2	no
ERR024341	lineage4.3.2	no
ERR024342	lineage4.3	no
ERR024343	lineage4.3	no
ERR024344	lineage4.3.2	no
ERR024345	lineage4.3.2	no
ERR024346	lineage4.3.2	no
ERR024347	lineage4.3.2	no
ERR024348	lineage4.4;lineage2.2.1	yes
ERR024349	lineage4.3.2	no
ERR024350	lineage2.2.1	no
ERR024351	lineage2.2.1	no
ERR024352	lineage4.3.2	no
ERR024353	lineage4.8	no
ERR024354	lineage4.8	no
ERR024355	lineage4.8	no
ERR024356	lineage4.8	no
ERR024357	lineage4.8	no
ERR024358	lineage4.4.1.1	no
ERR024359	lineage4.4.1.1	no
ERR025413	lineage4.3.2;lineage4.1.2.1	yes
ERR025414	lineage4.1.2.1	no
ERR025415	lineage4.1.2	no
ERR025416	lineage4.3.2	no
ERR025417	lineage4.1.2.1	no
ERR025418	lineage4.1.2.1	no
ERR025419	lineage4.1.2.1	no
ERR025420	lineage4.1.2.1	no
ERR025421	lineage4.1.2.1	no
ERR025422	lineage4.1.2.1	no
ERR025423	lineage4.1.2.1	no
ERR025424	lineage4.1.2.1	no
ERR025425	lineage4.2.2;lineage4.1.2	yes
ERR025426	lineage4.1.2.1	no
ERR025427	lineage4.2.2.1	no
ERR025428	lineage4.2.2.1	no
ERR025429	lineage4.1.2.1	no
ERR025430	lineage4.1.2.1	no
ERR025431	lineage4.1.2.1	no
ERR025432	lineage4.2.2.1	no
ERR025433	lineage4.2.2.1	no
ERR025434	lineage4.2.2.1	no
ERR025435	lineage4.2.2.1	no
ERR025436	lineage4.2.2.1	no
ERR025437	lineage4.2.2.1;lineage4.1.2.1;lineage2.2.2;lineage1.2.1.2.1	yes
ERR025438	lineage4.2.2.1	no
ERR025439	lineage2.2.2	no
ERR025440	lineage4.1.2.1	no
ERR025441	lineage4.1.2.1	no
ERR025442	lineage1.2.1.2.1	no
ERR025443	lineage1.2.1.2.1	no
ERR025444	lineage1.2.1.2.1	no
ERR025445	lineage1.2.1.2.1	no
ERR025446	lineage1.2.1.2.1	no
ERR025447	lineage1.2.1.2.1	no
ERR025448	lineage1.2.1.2.1	no
ERR025449	lineage4.3.4	no
ERR025450	lineage4.3.2	no
ERR025451	lineage4.3.2	no
ERR025452	lineage4.8	no
ERR025453	lineage4.3.2	no
ERR025454	lineage4.3.2	no
ERR025455	lineage4.3.2	no
ERR025456	lineage4.3.4.2	no
ERR025457	lineage4.3.4.1	no
ERR025458	lineage4.3.2	no
ERR025459	lineage4.3.2	no
ERR025460	lineage4.3.2	no
ERR025832	lineage3.1.1	no
ERR025833	lineage3.1.1	no
ERR025834	lineage3.1.1	no
ERR025835	lineage3	no
ERR025836	lineage3	no
ERR025837	lineage4.8.2	no
ERR025838	lineage4.8.2	no
ERR025839	lineage2.2.1	no
ERR025840	lineage2.2.1	no
ERR025841	lineage4.3.2.1;lineage4.1.2.1	yes
ERR025842	lineage4.2.2	no
ERR025843	lineage4.2.2	no
ERR025844	lineage4.2.2	no
ERR025845	lineage4.3.2.1	no
ERR025846	lineage4.2.2	no
ERR025847	lineage4.1.2.1	no
ERR025848	lineage4.1.2.1	no
ERR026471	lineage4.8;lineage4.2.2.2;lineage2.2.1.1	yes
ERR026472	lineage4.8	no
ERR026473	lineage2.2.1	no
ERR026474	lineage2.2.1	no
ERR026475	lineage4.8	no
ERR026476	lineage4.2.2.2	no
