host_id	isolate_id
01397178-fa4b-446d-80ea-ed8b35e6448d_lineage2.2.1_strain1	SRR13232492
01397178-fa4b-446d-80ea-ed8b35e6448d_lineage2.2.1_strain1	SRR13232493
0360dd8c-8f35-4cfe-bc74-8209bf62a749_lineage2.2.1_strain1	SRR10380021
04279764-7a97-45c4-a6d6-b12fda1fb0f8_lineage2.2.1_strain1	SRR1158929
06b091f4-d2cd-4a44-9e5f-1ccdca71dd71_lineage2.2.1_strain1	SRR3743373
07836591-e11a-4809-8893-94c3b423e8b2_lineage2.2.1_strain1	SRR3743492
0b56b650-1567-4120-9f99-d9d9f2062ade_lineage2.2.1_strain1	SRR7516372
0cb877e3-4ab6-4622-90b5-31e29491966c_lineage2.2.1_strain1	SRR13232505
0e88cecd-1491-47fd-8959-5e888b4d9144_lineage2.2.1_strain1	SRR13232512
0e88cecd-1491-47fd-8959-5e888b4d9144_lineage2.2.1_strain1	SRR13232700
158a815c-bc74-4841-b4d0-23305046dd15_lineage2.2.1_strain1	SRR13232750
158a815c-bc74-4841-b4d0-23305046dd15_lineage2.2.1_strain1	SRR13232765
173881fe-58f4-449a-97b3-7bdb8bc25410_lineage2.2.1_strain1	SRR1163025
174b45a1-798b-4348-8c86-84992eb6363d_lineage2.2.1_strain1	SRR7516338
1757e462-bc01-48bb-94c3-fdbc9d277756_lineage2.2.1_strain1	SRR13232732
1828ec9b-0651-423c-a31a-fa04289d7582_lineage2.2.1_strain1	SRR10397182
1e93d0f8-4bd2-4423-b418-7cd49b7487b8_lineage2.2.1_strain1	SRR6458403
1e93d0f8-4bd2-4423-b418-7cd49b7487b8_lineage2.2.1_strain1	SRR6458412
2110f02b-36a4-4b54-93d9-761cec018a33_lineage2.2.1_strain1	SRR3743407
21e2beda-b33b-4acb-9633-91f991274a86_lineage2.2.1_strain1	SRR13312523
21e2beda-b33b-4acb-9633-91f991274a86_lineage2.2.1_strain1	SRR13312524
21e2beda-b33b-4acb-9633-91f991274a86_lineage2.2.1_strain1	SRR13312526
21e2beda-b33b-4acb-9633-91f991274a86_lineage2.2.1_strain1	SRR13312527
21e2beda-b33b-4acb-9633-91f991274a86_lineage2.2.1_strain1	SRR13312528
21e2beda-b33b-4acb-9633-91f991274a86_lineage2.2.1_strain1	SRR13312529
21e2beda-b33b-4acb-9633-91f991274a86_lineage2.2.1_strain1	SRR5153322
234e74df-9904-418d-8252-7a02c6a4ecb7_lineage2.2.1_strain1	SRR3743375
23b28df4-696e-4358-819e-b1c5b9940c74_lineage2.2.1_strain1	SRR10380114
24c6e10a-fc34-4057-b6b4-b51e1475f3be_lineage2.2.1_strain1	SRR13232782
26613860-bbe2-45ad-ae8e-48e12e26730d_lineage2.2.1_strain1	SRR7516352
280f46a5-7f33-407b-9e1d-e37f1d1f879b_lineage2.2.1_strain1	SRR13232521
2951753f-3c56-4d1f-a27c-b5c19ef0891b_lineage2.2.1_strain1	SRR10380249
299e91a6-ab5d-4a35-83c3-8e4f83952d13_lineage2.2.1_strain1	SRR7516325
29ef5100-41d6-42c0-b039-90c3f79c269e_lineage2.2.1_strain1	SRR7516380
29ef5100-41d6-42c0-b039-90c3f79c269e_lineage2.2.1_strain1	SRR7516384
29ef5100-41d6-42c0-b039-90c3f79c269e_lineage2.2.1_strain1	SRR7516385
29ef5100-41d6-42c0-b039-90c3f79c269e_lineage2.2.1_strain1	SRR7516386
2c5916d1-18c8-46f1-b126-235a62fab14d_lineage2.2.1_strain1	SRR13232689
2e8369da-2ce6-4d56-9cdc-de107eefdc95_lineage2.2.1_strain1	SRR10380104
304dca9c-1beb-4ab8-a83f-c0c95587fbe0_lineage2.2.1_strain1	SRR13232516
32348ea2-cfc7-4b7f-8172-5c40b2c81647_lineage2.2.1_strain1	SRR5153221
334b8b20-63c2-44ec-a8f3-3feeea4a41c0_lineage2.2.1_strain1	SRR13232511
373d6594-9ba8-468d-a59b-9e8b9a6fdace_lineage2.2.1_strain1	SRR3544727
39ec59d6-8f9c-470c-a4ff-95fbfd5e4add_lineage2.2.1_strain1	SRR10379946
3a4a5a99-b9c7-44bf-a6fb-3f43c4ce31df_lineage2.2.1_strain1	SRR7516304
3c318b7e-1116-4fc8-aa72-94d33dc9950e_lineage2.2.1_strain1	SRR1158898
3c4b8cf4-baf8-4485-90a2-4de5932056b2_lineage2.2.1_strain1	SRR13232508
3f117e91-cdda-4cd0-bcf6-8ad6963990a1_lineage2.2.1_strain1	SRR7516401
4009160e-1bc2-4d99-9a3e-5e10fe503853_lineage2.2.1_strain1	SRR5153262
40abc7d2-a65f-4064-9ef3-892dda73c42b_lineage2.2.1_strain1	SRR13232725
410b39c2-4703-4d54-94e5-5f9beec59950_lineage2.2.1_strain1	SRR13232743
414543f8-b987-447e-84dc-a7958498de03_lineage2.2.1_strain1	SRR7516426
44961436-7ff6-40d1-8178-3ec0231ac887_lineage2.2.1_strain1	SRR10379992
4498f50d-dfc7-4b0a-a429-8adbe0dfc0fd_lineage2.2.1_strain1	SRR7516317
466548b5-268f-4eeb-8ed9-aa9c3ff23c0b_lineage2.2.1_strain1	SRR1159044
49000b8c-fb33-4134-be1b-aff4542e6c79_lineage2.2.1_strain1	SRR3544733
4cc60fd1-9c56-4c62-a107-8f5a4629fdf9_lineage2.2.1_strain1	SRR10380190
4df583a6-0b3d-4ae9-97db-23e85fb09010_lineage2.2.1_strain1	SRR13232592
4df583a6-0b3d-4ae9-97db-23e85fb09010_lineage2.2.1_strain1	SRR13232667
50262be7-5ef5-4be1-934d-6a11dded190a_lineage2.2.1_strain1	SRR13232683
50262be7-5ef5-4be1-934d-6a11dded190a_lineage2.2.1_strain1	SRR13232685
50c4b0cf-7f9f-488e-9f53-45ea41849fc3_lineage2.2.1_strain1	SRR13232488
50c4b0cf-7f9f-488e-9f53-45ea41849fc3_lineage2.2.1_strain1	SRR13232489
50c4b0cf-7f9f-488e-9f53-45ea41849fc3_lineage2.2.1_strain1	SRR13232491
50c4b0cf-7f9f-488e-9f53-45ea41849fc3_lineage2.2.1_strain1	SRR13232567
50c4b0cf-7f9f-488e-9f53-45ea41849fc3_lineage2.2.1_strain1	SRR13232570
50c4b0cf-7f9f-488e-9f53-45ea41849fc3_lineage2.2.1_strain1	SRR13232572
531a1c9d-70bd-4bd3-970b-20b5dcab4065_lineage2.2.1_strain1	SRR1159760
54784bb8-20c7-4470-8b31-16eddd4f57f5_lineage2.2.1_strain1	SRR1158890
5598d4f2-c055-4159-9d8e-72b039bdb695_lineage2.2.1_strain1	SRR13232775
578df071-af61-40a9-bc43-e2159261e175_lineage2.2.1_strain1	SRR1159108
