host_id	isolate_id
0da2f9a1-bdfa-4a4d-b5d1-a838a4aed2e4_lineage4.1.2.1_strain1	SRR16088283
11b4ea9c-7c41-4b3c-9e0d-819f4ac830ee_lineage4.1.2.1_strain1	SRR10380210
3948afe2-154f-4829-bfe7-bec14b3f8735_lineage4.1.2.1_strain1	SRR1162997
50ead9fa-3103-41ef-b4fc-fdda5756091d_lineage4.1.2.1_strain1	SRR3544738
83acb05c-aea7-4ceb-9eef-f1fa5b4e2d69_lineage4.1.2.1_strain1	SRR5153918
872de6a9-10f5-43ce-9bd1-c2e1a0905c9c_lineage4.1.2.1_strain1	SRR11033673
91c67359-dbde-4cfd-b9ea-12d40b6cd845_lineage4.1.2.1_strain1	SRR10380195
98604747-4a5b-4c99-b2b0-fa0179c287d9_lineage4.1.2.1_strain1	SRR13232753
asare2021_RL020_lineage4.1.2.1_strain1	SRR11461651
asare2021_RL025_lineage4.1.3_strain1	SRR11444205
asare2021_RL029_lineage4.1.3_strain1	SRR11444249
asare2021_RL036_lineage4.1.2.1_strain1	SRR11461658
cancino2019_patientX_lineage4.1.2.1_strain1	ERR2099775
cancino2019_patientX_lineage4.1.2.1_strain1	ERR2099776
cancino2019_patientX_lineage4.1.2.1_strain1	ERR2099777
cancino2019_patientX_lineage4.1.2.1_strain1	ERR2099778
cancino2019_patientX_lineage4.1.2.1_strain1	ERR2099781
cancino2019_patientX_lineage4.1.2.1_strain1	ERR2099782
cancino2019_patientX_lineage4.1.2.1_strain1	ERR2099783
cancino2019_patientX_lineage4.1.2.1_strain1	ERR2099784
cancino2019_patientX_lineage4.1.2.1_strain1	ERR2099785
cancino2019_patientX_lineage4.1.2.1_strain1	ERR2099786
cancino2019_patientX_lineage4.1.2.1_strain1	ERR2099787
cancino2019_patientX_lineage4.1.2.1_strain1	ERR2099788
cancino2019_patientX_lineage4.1.2.1_strain1	ERR2099789
cancino2019_patientX_lineage4.1.2.1_strain1	ERR2099790
clark2013_A70763_lineage4.1.1.3_strain1	ERR038751
cox2021_-2405703203995049866_lineage4.1.1.3_strain1	ERR6052103
cox2021_-5002772595886858472_lineage4.1.1.3_strain1	ERR6362149
cox2021_-5439888922750032239_lineage4.1.1.3_strain1	ERR6362259
cox2021_-7428126490253323819_lineage4.1.1.3_strain1	ERR6052071
cox2021_-978966333604973797_lineage4.1.1.3_strain1	ERR6052043
cox2021_3282446535737829692_lineage4.1.1.3_strain1	ERR6052027
cox2021_8663135302622198480_lineage4.1.1.3_strain1	ERR6052025
da96eba1-2c2b-43d3-8dff-c6be74ccabc2_lineage4.1.2.1_strain1	SRR16087972
dippenaara2019_11_lineage4.1.1.3_strain1	ERR3340713
