folkvardsen2020_P10_lineage4.8_strain1	ERR2229295
folkvardsen2020_P16_lineage4.8_strain1	ERR2229517
folkvardsen2020_P16_lineage4.8_strain1	ERR2228924
folkvardsen2020_P29_lineage4.8_strain1	ERR1950044
folkvardsen2020_P29_lineage4.8_strain1	ERR2229599
folkvardsen2020_P30_lineage4.8_strain1	ERR2228836
folkvardsen2020_P30_lineage4.8_strain1	ERR2229513
folkvardsen2020_P31_lineage4.8_strain1	ERR1950043
folkvardsen2020_P31_lineage4.8_strain1	ERR2229042
folkvardsen2020_P32_lineage4.8_strain1	ERR2229029
folkvardsen2020_P32_lineage4.8_strain1	ERR1949980
folkvardsen2020_P1_lineage4.8_strain1	ERR2229541
folkvardsen2020_P19_lineage4.8_strain1	ERR2229109
folkvardsen2020_P22_lineage4.8_strain1	ERR2229601
folkvardsen2020_P4_lineage4.8_strain1	ERR2229694
