host_id	isolate_id
asare2021_RL028_lineage5.1.4_strain1	ERR751314
asare2021_RL031_lineage5.1.2_strain1	ERR1082123
walker2013_P000059_lineage5.1.3_strain1	ERR046918
asare2021_RL028_lineage5.1.4_strain1	SRR11461650
asare2021_RL031_lineage5.1.2_strain1	SRR11461672
walker2013_P000059_lineage5.1.3_strain1	ERR046933
walker2018b_06TB_0267_lineage5.1.4_strain1	ERR2510708
walker2018b_RIVM_44_lineage5.1_strain1	ERR2517377
walker2018b_06TB_0336_lineage6.3.1_strain1	ERR2510777
walker2018b_06TB_0345_lineage6.3.1_strain1	ERR2510786
walker2018b_06TB_0350_lineage6.3.1_strain1	ERR2510791
walker2018b_06TB_0375_lineage6.1.1_strain1	ERR2510816
walker2018b_RIVM_372_lineage6.1.2_strain1	ERR2517594
walker2018b_RIVM_66_lineage6.2.3_strain1	ERR2517500
