Locus	Name	Product	type	start	end	strand	snpEff_locus_id
Rv2423	Rv2423	Hypothetical protein	CDS	2719597	2720643	+	CDS_NC_000962.3_2719597_2720643
Rv2422	Rv2422	Hypothetical protein	CDS	2719083	2719355	+	CDS_NC_000962.3_2719083_2719355
Rv2255c	Rv2255c	Hypothetical protein	CDS	2528980	2529174	-	CDS_NC_000962.3_2528980_2529174
Rv0005	gyrB	DNA gyrase (subunit B) GyrB (DNA topoisomerase (ATP-hydrolysing)) (DNA topoisomerase II) (type II DNA topoisomerase)	CDS	5240	7267	+	CDS_NC_000962.3_5240_7267
Rv0036c	Rv0036c	Conserved protein	CDS	39056	39829	-	CDS_NC_000962.3_39056_39829
Rv0138	Rv0138	Conserved hypothetical protein	CDS	165323	165826	+	CDS_NC_000962.3_165323_165826
Rv2125	Rv2125	Conserved hypothetical protein	CDS	2386293	2387171	+	CDS_NC_000962.3_2386293_2387171
Rv3697A	vapB48	Possible antitoxin VapB48	CDS	4140239	4140463	-	CDS_NC_000962.3_4140239_4140463
Rv3831	Rv3831	Hypothetical protein	CDS	4305757	4306239	+	CDS_NC_000962.3_4305757_4306239
Rv3851	Rv3851	Possible membrane protein	CDS	4324683	4324967	+	CDS_NC_000962.3_4324683_4324967
Rv0013	trpG	Possible anthranilate synthase component II TrpG (glutamine amidotransferase)	CDS	14914	15612	+	CDS_NC_000962.3_14914_15612
Rv0015c	pknA	Transmembrane serine/threonine-protein kinase A PknA (protein kinase A) (STPK A)	CDS	17467	18762	-	CDS_NC_000962.3_17467_18762
Rv0020c	fhaA	Conserved protein with FHA domain, FhaA	CDS	23861	25444	-	CDS_NC_000962.3_23861_25444
Rv2065	cobH	Precorrin-8X methylmutase CobH (aka precorrin isomerase)	CDS	2322552	2323178	+	CDS_NC_000962.3_2322552_2323178
Rv0017c	rodA	Probable cell division protein RodA	CDS	20231	21640	-	CDS_NC_000962.3_20231_21640
Rv0019c	fhaB	Conserved protein with FHA domain, FhaB	CDS	23270	23737	-	CDS_NC_000962.3_23270_23737
Rv0022c	whiB5	Probable transcriptional regulatory protein WhiB-like WhiB5	CDS	27023	27442	-	CDS_NC_000962.3_27023_27442
Rv0035	fadD34	Probable fatty-acid-CoA ligase FadD34 (fatty-acid-CoA synthetase) (fatty-acid-CoA synthase)	CDS	37259	38947	+	CDS_NC_000962.3_37259_38947
Rv0055	rpsR1	30S ribosomal protein S18-1 RpsR1	CDS	59122	59376	+	CDS_NC_000962.3_59122_59376
Rv1052	Rv1052	Hypothetical protein	CDS	1175723	1176112	+	CDS_NC_000962.3_1175723_1176112
Rv2737A	Rv2737A	Conserved hypothetical cysteine rich protein (fragment)	CDS	3051619	3051792	+	CDS_NC_000962.3_3051619_3051792
Rv0042c	Rv0042c	Possible transcriptional regulatory protein (probably MarR-family)	CDS	46581	47207	-	CDS_NC_000962.3_46581_47207
Rv0043c	Rv0043c	Probable transcriptional regulatory protein (probably GntR-family)	CDS	47366	48100	-	CDS_NC_000962.3_47366_48100
Rv0044c	Rv0044c	Possible oxidoreductase	CDS	48233	49027	-	CDS_NC_000962.3_48233_49027
Rv0045c	Rv0045c	Possible hydrolase	CDS	49043	49939	-	CDS_NC_000962.3_49043_49939
Rv0046c	ino1	myo-inositol-1-phosphate synthase Ino1 (inositol 1-phosphate synthetase) (D-glucose 6-phosphate cycloaldolase) (glucose 6-phosphate cyclase) (glucocycloaldolase)	CDS	50021	51124	-	CDS_NC_000962.3_50021_51124
Rv0285	PE5	PE family protein PE5	CDS	349624	349932	+	CDS_NC_000962.3_349624_349932
Rv0051	Rv0051	Probable conserved transmembrane protein	CDS	55696	57378	+	CDS_NC_000962.3_55696_57378
Rv0052	Rv0052	Conserved protein	CDS	57410	57973	+	CDS_NC_000962.3_57410_57973
Rv0054	ssb	Single-strand binding protein Ssb (helix-destabilizing protein)	CDS	58586	59080	+	CDS_NC_000962.3_58586_59080
Rv0056	rplI	50S ribosomal protein L9 RplI	CDS	59409	59867	+	CDS_NC_000962.3_59409_59867
Rv0057	Rv0057	Hypothetical protein	CDS	59896	60417	+	CDS_NC_000962.3_59896_60417
Rv0058	dnaB	Probable replicative DNA helicase DnaB	CDS	60396	63020	+	CDS_NC_000962.3_60396_63020
Rv0059	Rv0059	Hypothetical protein	CDS	63200	63892	+	CDS_NC_000962.3_63200_63892
Rv0067c	Rv0067c	Possible transcriptional regulatory protein (possibly TetR-family)	CDS	74629	75198	-	CDS_NC_000962.3_74629_75198
Rv0063	Rv0063	Possible oxidoreductase	CDS	66923	68362	+	CDS_NC_000962.3_66923_68362
Rv0064	Rv0064	Probable conserved transmembrane protein	CDS	68620	71559	+	CDS_NC_000962.3_68620_71559
Rv0064A	vapB1	Possible antitoxin VapB1	CDS	71589	71828	+	CDS_NC_000962.3_71589_71828
Rv0065	vapC1	Possible toxin VapC1	CDS	71821	72222	+	CDS_NC_000962.3_71821_72222
Rv0081	Rv0081	Probable transcriptional regulatory protein	CDS	89575	89919	+	CDS_NC_000962.3_89575_89919
Rv0082	Rv0082	Probable oxidoreductase	CDS	89924	90403	+	CDS_NC_000962.3_89924_90403
Rv1829	Rv1829	Conserved protein	CDS	2073943	2074437	+	CDS_NC_000962.3_2073943_2074437
Rv0070c	glyA2	Serine hydroxymethyltransferase GlyA2 (serine methylase 2) (SHMT 2)	CDS	77619	78896	-	CDS_NC_000962.3_77619_78896
Rv0071	Rv0071	Possible maturase	CDS	79486	80193	+	CDS_NC_000962.3_79486_80193
Rv0072	Rv0072	Probable glutamine-transport transmembrane protein ABC transporter	CDS	80624	81673	+	CDS_NC_000962.3_80624_81673
Rv0074	Rv0074	Conserved protein	CDS	82748	83983	+	CDS_NC_000962.3_82748_83983
Rv0075	Rv0075	Probable aminotransferase	CDS	83996	85168	+	CDS_NC_000962.3_83996_85168
Rv0076c	Rv0076c	Probable membrane protein	CDS	85183	85572	-	CDS_NC_000962.3_85183_85572
Rv0141c	Rv0141c	Unknown protein	CDS	167271	167681	-	CDS_NC_000962.3_167271_167681
Rv0516c	Rv0516c	Possible anti-anti-sigma factor	CDS	608059	608535	-	CDS_NC_000962.3_608059_608535
Rv0084	hycD	Possible formate hydrogenlyase HycD (FHL)	CDS	92328	93278	+	CDS_NC_000962.3_92328_93278
Rv0085	hycP	Possible hydrogenase HycP	CDS	93289	93951	+	CDS_NC_000962.3_93289_93951
Rv0086	hycQ	Possible hydrogenase HycQ	CDS	93951	95417	+	CDS_NC_000962.3_93951_95417
Rv0087	hycE	Possible formate hydrogenase HycE (FHL)	CDS	95414	96892	+	CDS_NC_000962.3_95414_96892
Rv0088	Rv0088	Possible polyketide cyclase/dehydrase	CDS	96927	97601	+	CDS_NC_000962.3_96927_97601
Rv0089	Rv0089	Possible methyltransferase/methylase	CDS	97758	98351	+	CDS_NC_000962.3_97758_98351
Rv0273c	Rv0273c	Possible transcriptional regulatory protein	CDS	329705	330325	-	CDS_NC_000962.3_329705_330325
Rv1060	Rv1060	Unknown protein	CDS	1183508	1183981	+	CDS_NC_000962.3_1183508_1183981
Rv0093c	Rv0093c	Probable conserved membrane protein	CDS	102815	103663	-	CDS_NC_000962.3_102815_103663
Rv0094c	Rv0094c	Conserved hypothetical protein	CDS	103710	104663	-	CDS_NC_000962.3_103710_104663
Rv0095c	Rv0095c	Conserved hypothetical protein	CDS	104805	105215	-	CDS_NC_000962.3_104805_105215
Rv0097	Rv0097	Possible oxidoreductase	CDS	106734	107603	+	CDS_NC_000962.3_106734_107603
Rv0098	fcoT	Probable fatty acyl CoA thioesterase type III FcoT	CDS	107600	108151	+	CDS_NC_000962.3_107600_108151
Rv0100	Rv0100	Conserved hypothetical protein	CDS	109783	110019	+	CDS_NC_000962.3_109783_110019
Rv0500B	Rv0500B	Conserved hypothetical protein	CDS	591475	591576	+	CDS_NC_000962.3_591475_591576
Rv0790c	Rv0790c	Hypothetical protein	CDS	884072	884800	-	CDS_NC_000962.3_884072_884800
Rv0103c	ctpB	Probable cation-transporter P-type ATPase B CtpB	CDS	119915	122173	-	CDS_NC_000962.3_119915_122173
Rv0104	Rv0104	Conserved hypothetical protein	CDS	122317	123831	+	CDS_NC_000962.3_122317_123831
Rv0105c	rpmB1	50S ribosomal protein L28-1 RpmB1	CDS	123980	124264	-	CDS_NC_000962.3_123980_124264
Rv0130	htdZ	Probable 3-hydroxyl-thioester dehydratase	CDS	157847	158302	+	CDS_NC_000962.3_157847_158302
Rv0678	Rv0678	Conserved protein	CDS	778990	779487	+	CDS_NC_000962.3_778990_779487
Rv2010	vapC15	Toxin VapC15	CDS	2258273	2258671	+	CDS_NC_000962.3_2258273_2258671
Rv0107c	ctpI	Probable cation-transporter ATPase I CtpI	CDS	125643	130541	-	CDS_NC_000962.3_125643_130541
Rv0108c	Rv0108c	Hypothetical protein	CDS	130895	131104	-	CDS_NC_000962.3_130895_131104
Rv0110	Rv0110	Probable conserved integral membrane protein	CDS	133020	133769	+	CDS_NC_000962.3_133020_133769
Rv0111	Rv0111	Possible transmembrane acyltransferase	CDS	133950	136007	+	CDS_NC_000962.3_133950_136007
Rv0112	gca	Possible GDP-mannose 4,6-dehydratase Gca (GDP-D-mannose dehydratase)	CDS	136289	137245	+	CDS_NC_000962.3_136289_137245
Rv0581	vapB26	Possible antitoxin VapB26	CDS	677710	677925	+	CDS_NC_000962.3_677710_677925
Rv0115	hddA	Possible D-alpha-D-heptose-7-phosphate kinase HddA	CDS	138513	139673	+	CDS_NC_000962.3_138513_139673
Rv0116c	ldtA	Probable L,D-transpeptidase LdtA	CDS	140267	141022	-	CDS_NC_000962.3_140267_141022
Rv0117	oxyS	Oxidative stress response regulatory protein OxyS	CDS	141200	142144	+	CDS_NC_000962.3_141200_142144
Rv0131c	fadE1	Probable acyl-CoA dehydrogenase FadE1	CDS	158315	159658	-	CDS_NC_000962.3_158315_159658
Rv0145	Rv0145	Possible S-adenosylmethionine-dependent methyltransferase	CDS	171215	172168	+	CDS_NC_000962.3_171215_172168
Rv0119	fadD7	Probable fatty-acid-CoA ligase FadD7 (fatty-acid-CoA synthetase) (fatty-acid-CoA synthase)	CDS	144049	145626	+	CDS_NC_000962.3_144049_145626
Rv0120c	fusA2	Probable elongation factor G FusA2 (EF-G)	CDS	145627	147771	-	CDS_NC_000962.3_145627_147771
Rv0121c	Rv0121c	Conserved protein	CDS	147908	148342	-	CDS_NC_000962.3_147908_148342
Rv0122	Rv0122	Hypothetical protein	CDS	148491	148859	+	CDS_NC_000962.3_148491_148859
