host_id	host_isolates	min_host_isolates_dis	max_host_isolates_dis	host_mrca_node	outgroup_isolate	outgroup_snp_dis
chen2020_209e77fb_lineage4.5_strain1	SRR11567799;SRR11567801	0	0	node11	SRR13423608	349
walker2018b_ 956972_lineage4.5_strain1	ERR2516849;ERR2517084;ERR2517101	0	0	node187	ERR117623	185
3e4a01c7-8e28-4375-a412-83d647795304_lineage4.6_strain1	SRR7516348;SRR7516349	0	0	node1133	ERR2791559	390
asare2021_RL001_lineage4.6.2.2_strain1	SRR11461653;SRR11461676	0	0	node1266	SRR11444327	76
asare2021_RL002_lineage4.6_strain1	SRR11444212;SRR11461677	0	0	node899	ERR228238	268
asare2021_RL009_lineage4.6.2.2_strain1	SRR11461661;SRR11461675	0	0	node1616	SRR11444220	33
asare2021_RL010_lineage4.6.2.2_strain1	SRR11444348;SRR11461673	5	5	node1503	SRR11444090	30
asare2021_RL011_lineage4.6.2.2_strain1	SRR11461674;SRR11461687;SRR11461688	0	0	node1171	SRR11461657	34
asare2021_RL013_lineage4.6.2.2_strain1	SRR11461683;SRR11461684	0	0	node1444	SRR11444409	14
asare2021_RL014_lineage4.6.2.2_strain1	SRR11461697;SRR11461698	0	0	node1223	SRR11444111	19
asare2021_RL022_lineage4.6.2.2_strain1	SRR11444116;SRR11461655;SRR11461659	0	0	node1371	SRR11444409	16
asare2021_RL024_lineage4.6.2.2_strain1	SRR11444104;SRR11461686	0	0	node1711	SRR11443981	11
asare2021_RL030_lineage4.6.2.2_strain1	SRR11461693;SRR11461694	0	0	node1300	SRR11444309	22
asare2021_RL032_lineage4.6.2.2_strain1	SRR11461670;SRR11461671	0	0	node1508	SRR11444409	16
asare2021_RL033_lineage4.6.2.2_strain1	SRR11461667;SRR11461668	4	4	node1293	SRR11444327	16
casali2016_P043_lineage4.6.2.2_strain1	ERR369609;ERR369612	0	0	node1823	SRR11444015	29
casali2016_P052_lineage4.6.2.2_strain1	ERR369616;ERR369656	6	6	node2033	SRR11444015	29
casali2016_P062_lineage4.6.2.2_strain1	ERR369621;ERR502246	0	0	node1823	SRR11444015	29
casali2016_P108_lineage4.6.2.2_strain1	ERR502262;ERR600640	1	1	node2099	SRR11444015	29
casali2016_P160_lineage4.6.2.2_strain1	ERR369659;ERR502278	0	0	node1931	SRR11444015	29
casali2016_P164_lineage4.6.2.2_strain1	ERR502299;ERR600655	0	0	node2016	SRR11444015	29
casali2016_P179_lineage4.6.2.2_strain1	ERR369670;ERR502282	0	0	node1931	SRR11444015	31
casali2016_P221_lineage4.6.2.2_strain1	ERR502300;ERR502308	0	0	node2379	SRR11444015	29
casali2016_P227_lineage4.6.2.2_strain1	ERR369693;ERR502363	1	1	node1823	SRR11444015	29
casali2016_P233_lineage4.6.2.2_strain1	ERR502307;ERR502360	3	3	node2177	SRR11444015	29
casali2016_P251_lineage4.6.2.2_strain1	ERR369703;ERR600658	2	2	node2099	SRR11444015	29
casali2016_P288_lineage4.6.2.2_strain1	ERR502333;ERR502366	0	0	node2409	SRR11444015	29
casali2016_P305_lineage4.6.2.2_strain1	ERR502347;ERR600659	1	1	node2009	SRR11444015	29
casali2016_P316_lineage4.6.2.2_strain1	ERR369756;ERR502356	0	0	node2081	SRR11444015	33
casali2016_P318_lineage4.6.2.2_strain1	ERR502358;ERR502359	0	0	node2544	SRR11444015	30
casali2016_P355_lineage4.6.2.2_strain1	ERR369739;ERR502394	0	0	node2519	SRR11444015	30
casali2016_P367_lineage4.6.2.2_strain1	ERR369721;ERR502404	1	1	node2081	SRR11444015	31
casali2016_P372_lineage4.6.2.2_strain1	ERR369725;ERR502405	0	0	node2287	SRR11444015	30
casali2016_P377_lineage4.6.2.2_strain1	ERR369729;ERR502407	0	0	node1931	SRR11444015	30
ssengooba2016b_P11_lineage4.6.1_strain1	ERR990535;ERR990536	0	0	node973	ERR117670	138
ssengooba2016b_P12_lineage4.6.1.1_strain1	ERR990537;ERR990538	0	0	node991	ERR2517154	125
ssengooba2016b_P8_lineage4.6.1.1_strain1	ERR990553;ERR990554	0	0	node983	ERR403325	92
walker2013_P000204_lineage4.6.2.1_strain1	ERR046838;ERR046839	0	0	node1144	ERR2510290	156
walker2013_P000236_lineage4.6.2.2_strain1	ERR046834;ERR046981	0	0	node2482	SRR11444015	31
walker2013_P000257_lineage4.6.2.2_strain1	ERR046996;ERR047004	0	0	node1612	SRR11444220	59
walker2018b_ 913987_lineage4.6.2.2_strain1	ERR2516758;ERR2516834	1	1	node2087	SRR11444015	33
walker2018b_ 965189_lineage4.6.2.2_strain1	ERR2516974;ERR2517056;ERR2517076	0	0	node1786	SRR11444015	30
1a1e2a8f-baae-4ae9-96f6-113512cff5f2_lineage4.7_strain1	SRR7592358;SRR9738524	2	2	node743	SRR9738519	30
nimmo2020_P0164_lineage4.7_strain1	SRR10315596;SRR10315597;SRR10315600;SRR9971102	0	0	node755	ERR1750901	18
wollenberg2017_90_lineage4.7_strain1	SRR1159904;SRR1181030;SRR1181070	0	0	node787	ERR2510739	120
wollenberg2017_94_lineage4.7_strain1	SRR1163287;SRR1169015;SRR1172027	0	0	node793	ERR2510739	133
cox2021_-6039566361171580146_lineage4.9_strain1	ERR6052042;ERR6052087	0	0	node238	ERR6362449	12
guerra2014_KPS_60_lineage4.9.1_strain1	ERR176585;ERR190380	0	0	node538	ERR1750894	49
guerra2014_KPS_75_lineage4.9_strain1	ERR161117;ERR221543	0	0	node433	ERR190329	11
lieberman2016_P6_lineage4.9_strain1	SRR4034725;SRR4034728;SRR4034729;SRR4034730;SRR4034731	0	0	node275	ERR294245	67
walker2018b_RIVM_580_lineage4.9_strain1	ERR2517424;ERR2517598	0	0	node374	ERR2517167	18
walker2018b_SSM_0116-14_lineage4.9_strain1	ERR2510873;ERR2510879	0	0	node402	ERR2510748	162
witney2017_011_lineage4.9.1_strain1	ERR1750893;ERR1750894	0	0	node491	ERR164007	35
witney2017_016_lineage4.9.1_strain1	ERR1750903;ERR1750904	0	0	node484	ERR176594	42
