host_id	host_isolates	min_host_isolates_dis	max_host_isolates_dis	host_mrca_node	outgroup_isolate	outgroup_snp_dis
chen2020_209e77fb_lineage4.5_strain1	SRR11567799;SRR11567801	0	0	node11	SRR13423608	349
walker2018b_ 956972_lineage4.5_strain1	ERR2516849;ERR2517084;ERR2517101	0	0	node187	ERR117623	185
00f7990a-fe10-47a1-83cd-bc8164b64977_lineage4.5_strain1	SRR10303312	no_distances_found	no_distances_found	node159	ERR2510801	276
1d929abc-beb9-4e5e-9968-496df14f7ea3_lineage4.5_strain1	SRR16088120	no_distances_found	no_distances_found	node86	ERR228208	135
a88c1d3b-ba9f-4af7-89c2-c26464d33ff3_lineage4.5_strain1	SRR13232487	no_distances_found	no_distances_found	node26	ERR2517554	193
c135a10f-f1d2-4d51-8037-e314e9fd58cd_lineage4.5_strain1	SRR10303304	no_distances_found	no_distances_found	node42	SRR13232604	77
chen2020_2d2b514d_lineage4.5_strain1	SRR8651561	no_distances_found	no_distances_found	node155	SRR8651617	275
chen2020_d6e20bea_lineage4.5_strain1	SRR8651557	no_distances_found	no_distances_found	node163	SRR13423572	337
chen2020_fbd2e141_lineage4.5_strain1	SRR8651642	no_distances_found	no_distances_found	node172	ERR266603	207
fc812d84-b4b1-4bc4-bc77-eb37565abfc5_lineage4.5_strain1	SRR10303298	no_distances_found	no_distances_found	node23	SRR13232487	225
hu2021_ADR40_lineage4.5_strain1	SRR13423616	no_distances_found	no_distances_found	node115	SRR13423647	257
UNKNOWN9047_lineage4.5_strain1	ERR4553752	no_distances_found	no_distances_found	node176	ERR266603	206
walker2018b_ 945586_lineage4.5_strain1	ERR2516939	no_distances_found	no_distances_found	node59	ERR2517311	104
walker2018b_1365901_lineage4.5_strain1	ERR2516938	no_distances_found	no_distances_found	node123	ERR228291	303
walker2018b_ATH_0058-14_lineage4.5_strain1	ERR2510698	no_distances_found	no_distances_found	node100	ERR2510643	36
walker2018b_ATH_0390-14_lineage4.5_strain1	ERR2510444	no_distances_found	no_distances_found	node30	ERR230050	270
walker2018b_MHL_0242-14_lineage4.5_strain1	ERR2510643	no_distances_found	no_distances_found	node99	ERR2510698	36
walker2018b_PIMS_0021-14_lineage4.5_strain1	ERR2510312	no_distances_found	no_distances_found	node55	ERR2517311	104
walker2018b_PIMS_0028-14_lineage4.5_strain1	ERR2510406	no_distances_found	no_distances_found	node92	ERR123931	118
walker2018b_RIVM_162_lineage4.5_strain1	ERR2517311	no_distances_found	no_distances_found	node52	ERR2510312	104
walker2018b_RIVM_314_lineage4.5_strain1	ERR2517365	no_distances_found	no_distances_found	node50	ERR2517311	118
walker2018b_RIVM_325_lineage4.5_strain1	ERR2517591	no_distances_found	no_distances_found	node82	ERR2510269	189
walker2018b_RIVM_390_lineage4.5_strain1	ERR2517554	no_distances_found	no_distances_found	node25	SRR13232487	193
walker2018b_RIVM_423_lineage4.5_strain1	ERR2517208	no_distances_found	no_distances_found	node106	ERR330677	181
walker2018b_RIVM_504_lineage4.5_strain1	ERR2517397	no_distances_found	no_distances_found	node181	SRR11348185	151
walker2018b_RLH_0264-14_lineage4.5_strain1	ERR2510413	no_distances_found	no_distances_found	node57	ERR2517311	106
walker2018b_RLH_0295-14_lineage4.5_strain1	ERR2510492	no_distances_found	no_distances_found	node58	ERR2517311	104
walker2018b_SGD_0068-14_lineage4.5_strain1	ERR2510574	no_distances_found	no_distances_found	node94	ERR123918	110
walker2018b_SGD_0076-14_lineage4.5_strain1	ERR2510543	no_distances_found	no_distances_found	node36	ERR2510397	22
walker2018b_SSM_0095-R_lineage4.5_strain1	ERR2510269	no_distances_found	no_distances_found	node81	ERR2517591	189
walker2018b_SSM_0124-14_lineage4.5_strain1	ERR2510397	no_distances_found	no_distances_found	node37	ERR2510543	22
walker2018b_SSM_0183-R_lineage4.5_strain1	ERR2510330	no_distances_found	no_distances_found	node79	ERR2517591	207
walker2018b_SZH_0120-15_lineage4.5_strain1	ERR2510291	no_distances_found	no_distances_found	node102	ERR270643	131
3e4a01c7-8e28-4375-a412-83d647795304_lineage4.6_strain1	SRR7516348;SRR7516349	0	0	node1133	ERR2791559	390
asare2021_RL001_lineage4.6.2.2_strain1	SRR11461653;SRR11461676	0	0	node1266	SRR11444327	76
asare2021_RL002_lineage4.6_strain1	SRR11444212;SRR11461677	0	0	node899	ERR228238	268
asare2021_RL009_lineage4.6.2.2_strain1	SRR11461661;SRR11461675	0	0	node1616	SRR11444220	33
asare2021_RL010_lineage4.6.2.2_strain1	SRR11444348;SRR11461673	5	5	node1503	SRR11444090	30
asare2021_RL011_lineage4.6.2.2_strain1	SRR11461674;SRR11461687;SRR11461688	0	0	node1171	SRR11461657	34
asare2021_RL013_lineage4.6.2.2_strain1	SRR11461683;SRR11461684	0	0	node1444	SRR11444409	14
asare2021_RL014_lineage4.6.2.2_strain1	SRR11461697;SRR11461698	0	0	node1223	SRR11444111	19
asare2021_RL022_lineage4.6.2.2_strain1	SRR11444116;SRR11461655;SRR11461659	0	0	node1371	SRR11444409	16
asare2021_RL024_lineage4.6.2.2_strain1	SRR11444104;SRR11461686	0	0	node1711	SRR11443981	11
asare2021_RL030_lineage4.6.2.2_strain1	SRR11461693;SRR11461694	0	0	node1300	SRR11444309	22
asare2021_RL032_lineage4.6.2.2_strain1	SRR11461670;SRR11461671	0	0	node1508	SRR11444409	16
asare2021_RL033_lineage4.6.2.2_strain1	SRR11461667;SRR11461668	4	4	node1293	SRR11444327	16
casali2016_P043_lineage4.6.2.2_strain1	ERR369609;ERR369612	0	0	node1823	SRR11444015	29
casali2016_P052_lineage4.6.2.2_strain1	ERR369616;ERR369656	6	6	node2033	SRR11444015	29
casali2016_P062_lineage4.6.2.2_strain1	ERR369621;ERR502246	0	0	node1823	SRR11444015	29
casali2016_P108_lineage4.6.2.2_strain1	ERR502262;ERR600640	1	1	node2099	SRR11444015	29
casali2016_P160_lineage4.6.2.2_strain1	ERR369659;ERR502278	0	0	node1931	SRR11444015	29
casali2016_P164_lineage4.6.2.2_strain1	ERR502299;ERR600655	0	0	node2016	SRR11444015	29
casali2016_P179_lineage4.6.2.2_strain1	ERR369670;ERR502282	0	0	node1931	SRR11444015	31
casali2016_P221_lineage4.6.2.2_strain1	ERR502300;ERR502308	0	0	node2379	SRR11444015	29
casali2016_P227_lineage4.6.2.2_strain1	ERR369693;ERR502363	1	1	node1823	SRR11444015	29
casali2016_P233_lineage4.6.2.2_strain1	ERR502307;ERR502360	3	3	node2177	SRR11444015	29
casali2016_P251_lineage4.6.2.2_strain1	ERR369703;ERR600658	2	2	node2099	SRR11444015	29
casali2016_P288_lineage4.6.2.2_strain1	ERR502333;ERR502366	0	0	node2409	SRR11444015	29
