host_id	host_isolates	min_host_isolates_dis	max_host_isolates_dis	host_mrca_node	outgroup_isolate	outgroup_snp_dis
clark2013_A70136_lineage3_strain1	ERR040118;ERR040129;ERR040136	0	0	node39	ERR990545	16
clark2013_A70144_lineage3.1.2.1_strain1	ERR040119;ERR040123	3	3	node2062	ERR038753	14
guerra2014_KPS_14_lineage3.1.1_strain1	ERR176704;ERR190357	0	0	node3113	ERR245687	14
guerra2014_KPS_22_lineage3_strain1	ERR163961;ERR181751	0	0	node2100	ERR181797	12
guerra2014_KPS_26_lineage3.1.1_strain1	ERR126604;ERR212142	0	0	node3100	ERR181854	57
guerra2014_KPS_49_lineage3.1.1_strain1	ERR176657;ERR176731	0	0	node2804	ERR211997	13
guerra2014_KPS_71_lineage3.1.1_strain1	ERR176471;ERR212007	0	0	node3193	ERR245684	44
guerra2014_KPS_81_lineage3.1.1_strain1	ERR181715;ERR182044	1	1	node3181	ERR212029	37
guerra2014_KPS_82_lineage3.1.1_strain1	ERR181713;ERR181852	1	1	node3212	ERR221587	43
lieberman2016_P21_lineage3_strain1	SRR4035490;SRR4035491;SRR4035492;SRR4035493;SRR4035494;SRR4035495;SRR4035496;SRR4035497;SRR4035498;SRR4035500;SRR4035501;SRR4035502;SRR4035503;SRR4035504;SRR4035505;SRR4035506;SRR4035507;SRR4035508;SRR4035509;SRR4035511;SRR4035512;SRR4035513;SRR4035514;SRR4035515;SRR4035516;SRR4035517;SRR4035518;SRR4035519;SRR4035520;SRR4035522;SRR4035523;SRR4035524;SRR4035525;SRR4035526;SRR4035527;SRR4035528;SRR4035529;SRR4035530;SRR4035531;SRR4035533;SRR4035535;SRR4035536;SRR4035537;SRR4035538;SRR4035539;SRR4035540;SRR4035541;SRR4035542;SRR4035544;SRR4035545;SRR4035546;SRR4035547;SRR4035548;SRR4035550;SRR4035551;SRR4035552;SRR4035553;SRR4035555;SRR4035556;SRR4035558;SRR4036006;SRR4036008;SRR4036009;SRR4036010;SRR4036011;SRR4036012;SRR4036013;SRR4036014;SRR4036015;SRR4036016;SRR4036017;SRR4036019;SRR4036020;SRR4036021;SRR4036022;SRR4036023;SRR4036024;SRR4036026;SRR4036027;SRR4036028	0	8	node2186	ERR108163	19
nimmo2020_K0039_lineage3_strain1	SRR10315717;SRR10315718;SRR10315720;SRR11349183	0	1	node2171	ERR108163	18
nimmo2020_K0068_lineage3_strain1	SRR10315730;SRR10315731	0	0	node2183	ERR108163	20
nimmo2020_P0064_lineage3.1.1_strain1	SRR10315620;SRR10315622;SRR10315623	0	0	node3310	SRR10315654	13
ssengooba2016b_P1_lineage3.1.1_strain1	ERR990531;ERR990532	1	1	node3077	ERR072108	37
ssengooba2016b_P13_lineage3_strain1	ERR990539;ERR990540	0	0	node20	ERR990551	74
ssengooba2016b_P2_lineage3_strain1	ERR990541;ERR990542	1	1	node33	ERR990545	32
walker2013_P000003_lineage3.1.1_strain1	ERR038265;ERR038266	0	0	node3464	ERR228220	26
walker2013_P000008_lineage3.1.1_strain1	ERR046889;ERR046936	5	5	node3361	ERR2517626	28
walker2013_P000026_lineage3.1.1_strain1	ERR040087;ERR046770;ERR046940;ERR046942	0	1	node2838	ERR176464	47
walker2013_P000027_lineage3.1.1_strain1	ERR038298;ERR046769	1	1	node2838	ERR176464	47
walker2013_P000042_lineage3.1.2.1_strain1	ERR038262;ERR038263	0	0	node2004	ERR072084	143
walker2013_P000049_lineage3_strain1	ERR046846;ERR046895	0	0	node161	ERR278574	208
walker2013_P000076_lineage3.1.1_strain1	ERR039323;ERR046729;ERR046772;ERR046914	0	0	node2821	ERR176464	44
walker2013_P000081_lineage3.1.1_strain1	ERR046982;ERR046983	1	1	node3389	ERR228261	32
walker2013_P000092_lineage3.1.1_strain1	ERR046857;ERR046858	0	0	node3397	ERR294236	34
walker2013_P000094_lineage3.1.2.2_strain1	ERR039324;ERR046730;ERR046939;ERR046941	0	7	node1759	ERR270729	12
walker2013_P000107_lineage3_strain1	ERR038287;ERR038288	0	0	node1444	ERR270659	98
walker2013_P000149_lineage3.1.1_strain1	ERR025833;ERR025834	0	0	node3416	ERR386793	32
walker2013_P000152_lineage3_strain1	ERR046862;ERR046863	1	1	node853	ERR176825	32
walker2013_P000167_lineage3.1.1_strain1	ERR046866;ERR046867	0	0	node3472	ERR228220	24
walker2013_P000189_lineage3_strain1	ERR046779;ERR046780	2	2	node1236	ERR2510463	66
walker2013_P000201_lineage3.1.2.1_strain1	ERR038260;ERR038261	4	4	node1997	ERR2510382	158
walker2013_P000269_lineage3_strain1	ERR072021;ERR072022	0	0	node836	ERR2517587	44
walker2013_P000270_lineage3_strain1	ERR072023;ERR072024	0	0	node146	ERR2510495	200
walker2013_P000271_lineage3.1.2.2_strain1	ERR072025;ERR072029	2	2	node1761	ERR270729	14
walker2013_P000272_lineage3_strain1	ERR072026;ERR072040	0	0	node1076	ERR387031	23
walker2013_P000273_lineage3_strain1	ERR072031;ERR072032	1	1	node1412	ERR270747	96
walker2013_P000859_lineage3.1.1_strain1	ERR046860;ERR046861	0	0	node3459	ERR228220	26
walker2018b_ 879388_lineage3_strain1	ERR2516754;ERR2517068	1	1	node908	ERR2510519	82
walker2018b_ 972601_lineage3_strain1	ERR2516971;ERR2517074	2	2	node2567	ERR117677	228
walker2018b_1022926_lineage3_strain1	ERR2516782;ERR2516928	0	0	node1282	ERR230048	120
walker2018b_1065941_lineage3_strain1	ERR2516776;ERR2516830;ERR2516855;ERR2516869;ERR2516873;ERR2516919;ERR2517034;ERR2517048;ERR2517058	0	7	node1492	ERR228275	206
walker2018b_1091423_lineage3_strain1	ERR2516750;ERR2516947	0	0	node2594	ERR2517023	28
walker2018b_1190242_lineage3.1.1_strain1	ERR2516755;ERR2516860	4	4	node3353	ERR2517278	29
walker2018b_1202066_lineage3_strain1	ERR2516874;ERR2516878	2	2	node1594	ERR228245	78
walker2018b_1310837_lineage3_strain1	ERR2516818;ERR2517039	0	0	node2430	ERR117727	154
walker2018b_1326000_lineage3.1.2_strain1	ERR2516820;ERR2517095	2	2	node1946	ERR270732	214
walker2018b_1421109_lineage3.1.2.1_strain1	ERR2516837;ERR2516879;ERR2517012	0	0	node2018	ERR4553487	202
witney2017_006_lineage3_strain1	ERR1750883;ERR1750884	1	1	node846	ERR176825	36
witney2017_010_lineage3_strain1	ERR1750891;ERR1750892	1	1	node2364	ERR6362079	13
5d61de02-4a77-4a0c-8377-a8c8b802ddf3_lineage3_strain1	SRR16088103	no_distances_found	no_distances_found	node932	ERR2510396	170
clark2013_A70280_lineage3.1.1_strain1	ERR040126	no_distances_found	no_distances_found	node2977	ERR040091	55
clark2013_A70428_lineage3.1.1_strain1	ERR040133	no_distances_found	no_distances_found	node2996	ERR040091	37
clark2013_A70451_lineage3_strain1	ERR040141	no_distances_found	no_distances_found	node31	ERR040136	138
clark2013_A70490_lineage3_strain1	ERR040139	no_distances_found	no_distances_found	node29	ERR990545	144
clark2013_A70501_lineage3_strain1	ERR040140	no_distances_found	no_distances_found	node37	ERR040136	34
clark2013_A70655_lineage3_strain1	ERR038743	no_distances_found	no_distances_found	node24	ERR990551	24
clark2013_A70769_lineage3.1.2.1_strain1	ERR038752	no_distances_found	no_distances_found	node2066	ERR038753	15
clark2013_A70780_lineage3.1.2.1_strain1	ERR038753	no_distances_found	no_distances_found	node2067	ERR038752	15
cox2021_-213287214469819694_lineage3.1.1_strain1	ERR6362391	no_distances_found	no_distances_found	node3109	ERR176704	102
cox2021_-3805229876073627855_lineage3_strain1	ERR6362145	no_distances_found	no_distances_found	node2380	ERR6362402	18
cox2021_-3813416068278215811_lineage3.1.1_strain1	ERR6362571	no_distances_found	no_distances_found	node3075	ERR072108	44
cox2021_-4188065199421013625_lineage3_strain1	ERR5987382	no_distances_found	no_distances_found	node579	ERR270727	283
cox2021_-4853029721946696537_lineage3_strain1	ERR6362323	no_distances_found	no_distances_found	node2373	ERR6362402	20
cox2021_-5506771676638400327_lineage3_strain1	ERR6362758	no_distances_found	no_distances_found	node2382	ERR6362402	19
cox2021_-7344197795861541235_lineage3_strain1	ERR6362402	no_distances_found	no_distances_found	node2368	ERR6362079	16
cox2021_-8522447434354825006_lineage3_strain1	ERR6362079	no_distances_found	no_distances_found	node2381	ERR6362402	16
cox2021_467184642620364454_lineage3_strain1	ERR6362797	no_distances_found	no_distances_found	node2386	ERR736852	46
cox2021_5159699944642129487_lineage3_strain1	ERR6362209	no_distances_found	no_distances_found	node2374	ERR6362402	17
cox2021_5194613211119670727_lineage3_strain1	ERR6362817	no_distances_found	no_distances_found	node2376	ERR6362402	18
cox2021_665309105530328874_lineage3_strain1	ERR6362403	no_distances_found	no_distances_found	node2370	ERR6362402	18
cox2021_6853218114509659729_lineage3_strain1	ERR6362954	no_distances_found	no_distances_found	node2387	ERR736852	45
cox2021_7468880406970283628_lineage3.1.1_strain1	ERR6362472	no_distances_found	no_distances_found	node3289	ERR176497	47
cox2021_8489256942493269299_lineage3_strain1	ERR6361963	no_distances_found	no_distances_found	node482	ERR2510308	120
cox2021_8672975592209942805_lineage3_strain1	ERR6362694	no_distances_found	no_distances_found	node2383	ERR6362402	17
d6eeb3bd-3151-4cd6-b09c-0c02df101a2c_lineage3.1.3_strain1	SRR11033636	no_distances_found	no_distances_found	node56	ERR2517055	95
guerra2014_KPS_17_lineage3.1.1_strain1	ERR181736	no_distances_found	no_distances_found	node2907	ERR176464	47
guerra2014_KPS_23_lineage3.1.1_strain1	ERR212017	no_distances_found	no_distances_found	node3147	ERR181693	46
guerra2014_KPS_24_lineage3_strain1	ERR216939	no_distances_found	no_distances_found	node2151	ERR181797	18
guerra2014_KPS_27_lineage3.1.1_strain1	ERR181800	no_distances_found	no_distances_found	node3276	ERR163939	38
guerra2014_KPS_62_lineage3.1.1_strain1	ERR181854	no_distances_found	no_distances_found	node3106	ERR181771	48
guerra2014_KPS_65_lineage3.1.1_strain1	ERR161198	no_distances_found	no_distances_found	node3069	ERR216901	41
guerra2014_KPS_76_lineage3.1.1_strain1	ERR216899	no_distances_found	no_distances_found	node2947	ERR221591	64
nimmo2020_H0064_lineage3.1.1_strain1	SRR10315690	no_distances_found	no_distances_found	node3308	SRR10315620	11
nimmo2020_H0135_lineage3.1.1_strain1	SRR10315676	no_distances_found	no_distances_found	node3307	SRR10315620	14
nimmo2020_H0172_lineage3.1.1_strain1	SRR10315654	no_distances_found	no_distances_found	node3315	SRR10315620	13
nimmo2020_K0002_lineage3.1.1_strain1	SRR10315490	no_distances_found	no_distances_found	node3304	SRR10315654	11
nimmo2020_K0119_lineage3_strain1	SRR10315631	no_distances_found	no_distances_found	node2181	ERR108163	18
shanmugam2021_P12_lineage3_strain1	SRR11348201	no_distances_found	no_distances_found	node459	ERR4553609	58
shanmugam2021_P32_lineage3_strain1	SRR11348157	no_distances_found	no_distances_found	node2434	ERR117727	138
shanmugam2021_P35_lineage3.1.2_strain1	SRR11348151	no_distances_found	no_distances_found	node1739	ERR270753	240
ssengooba2016b_P4_lineage3_strain1	ERR990546	no_distances_found	no_distances_found	node45	ERR040136	16
ssengooba2016b_P7_lineage3_strain1	ERR990552	no_distances_found	no_distances_found	node27	ERR038743	24
UNKNOWN8754_lineage3.1.2.1_strain1	ERR4553404	no_distances_found	no_distances_found	node1983	ERR2517362	42
UNKNOWN8793_lineage3_strain1	ERR4553453	no_distances_found	no_distances_found	node5	ERR4553649	27
UNKNOWN8794_lineage3.1_strain1	ERR4553455	no_distances_found	no_distances_found	node2731	ERR4553836	24
UNKNOWN8822_lineage3.1.2.1_strain1	ERR4553487	no_distances_found	no_distances_found	node2017	ERR2516837	202
UNKNOWN8859_lineage3_strain1	ERR4553532	no_distances_found	no_distances_found	node2768	ERR330679	222
UNKNOWN8866_lineage3_strain1	ERR4553540	no_distances_found	no_distances_found	node494	ERR2510376	51
UNKNOWN8874_lineage3.1.2.1_strain1	ERR4553549	no_distances_found	no_distances_found	node1976	ERR117696	41
UNKNOWN8879_lineage3_strain1	ERR4553554	no_distances_found	no_distances_found	node422	ERR2510572	71
UNKNOWN8881_lineage3_strain1	ERR4553556	no_distances_found	no_distances_found	node1641	ERR114499	105
UNKNOWN8888_lineage3_strain1	ERR4553565	no_distances_found	no_distances_found	node490	ERR266570	143
UNKNOWN8912_lineage3_strain1	ERR4553595	no_distances_found	no_distances_found	node1646	ERR4553717	17
UNKNOWN8924_lineage3_strain1	ERR4553609	no_distances_found	no_distances_found	node456	SRR11348200	58
UNKNOWN8926_lineage3.1_strain1	ERR4553611	no_distances_found	no_distances_found	node2758	ERR4553626	16
UNKNOWN8938_lineage3.1_strain1	ERR4553626	no_distances_found	no_distances_found	node2759	ERR4553611	16
UNKNOWN8955_lineage3_strain1	ERR4553649	no_distances_found	no_distances_found	node6	ERR4553453	27
UNKNOWN8959_lineage3_strain1	ERR4553653	no_distances_found	no_distances_found	node493	ERR266570	141
UNKNOWN8963_lineage3.1.2.1_strain1	ERR4553657	no_distances_found	no_distances_found	node2049	ERR4553933	99
UNKNOWN8965_lineage3.1_strain1	ERR4553661	no_distances_found	no_distances_found	node2742	ERR4553454	12
UNKNOWN8967_lineage3.1_strain1	ERR4553663	no_distances_found	no_distances_found	node2744	ERR4553454	13
UNKNOWN8978_lineage3.1.2.1_strain1	ERR4553677	no_distances_found	no_distances_found	node2046	ERR4553710	30
UNKNOWN8981_lineage3_strain1	ERR4553682	no_distances_found	no_distances_found	node1143	ERR4553734	13
UNKNOWN8998_lineage3.1.2_strain1	ERR4553699	no_distances_found	no_distances_found	node1848	ERR2516743	220
UNKNOWN9008_lineage3.1.2.1_strain1	ERR4553710	no_distances_found	no_distances_found	node2047	ERR4553677	30
UNKNOWN9012_lineage3.1_strain1	ERR4553715	no_distances_found	no_distances_found	node2750	ERR4553661	16
UNKNOWN9014_lineage3_strain1	ERR4553717	no_distances_found	no_distances_found	node1647	ERR4553595	17
UNKNOWN9030_lineage3.1_strain1	ERR4553733	no_distances_found	no_distances_found	node2752	ERR4553661	18
UNKNOWN9031_lineage3_strain1	ERR4553734	no_distances_found	no_distances_found	node1144	ERR4553682	13
UNKNOWN9048_lineage3_strain1	ERR4553753	no_distances_found	no_distances_found	node562	ERR117659	145
UNKNOWN9080_lineage3_strain1	ERR4553787	no_distances_found	no_distances_found	node1590	ERR2510584	117
UNKNOWN9102_lineage3.1_strain1	ERR4553811	no_distances_found	no_distances_found	node2753	ERR4553661	18
UNKNOWN9125_lineage3.1_strain1	ERR4553836	no_distances_found	no_distances_found	node2732	ERR4553455	24
UNKNOWN9181_lineage3.1.2_strain1	ERR4553927	no_distances_found	no_distances_found	node1950	ERR117621	233
walker2013_P000001_lineage3.1.1_strain1	ERR046847	no_distances_found	no_distances_found	node3491	ERR228220	24
walker2013_P000004_lineage3.1.1_strain1	ERR038264	no_distances_found	no_distances_found	node3449	ERR228220	26
walker2013_P000006_lineage3.1.1_strain1	ERR038300	no_distances_found	no_distances_found	node3405	ERR114480	29
walker2013_P000015_lineage3.1.1_strain1	ERR038273	no_distances_found	no_distances_found	node3471	ERR228220	26
walker2013_P000016_lineage3.1.1_strain1	ERR038271	no_distances_found	no_distances_found	node3457	ERR228220	26
walker2013_P000017_lineage3.1.1_strain1	ERR038272	no_distances_found	no_distances_found	node3463	ERR228220	25
walker2013_P000018_lineage3.1.1_strain1	ERR046854	no_distances_found	no_distances_found	node3482	ERR228220	24
walker2013_P000023_lineage3.1.1_strain1	ERR046921	no_distances_found	no_distances_found	node3492	ERR228220	26
walker2013_P000024_lineage3.1.1_strain1	ERR046775	no_distances_found	no_distances_found	node3494	ERR228220	25
walker2013_P000037_lineage3.1.1_strain1	ERR040088	no_distances_found	no_distances_found	node2835	ERR176464	50
walker2013_P000063_lineage3.1.1_strain1	ERR046845	no_distances_found	no_distances_found	node3496	ERR228220	25
walker2013_P000066_lineage3.1.1_strain1	ERR046771	no_distances_found	no_distances_found	node2832	ERR176464	48
walker2013_P000069_lineage3.1.1_strain1	ERR038299	no_distances_found	no_distances_found	node3497	ERR228220	24
walker2013_P000073_lineage3.1.1_strain1	ERR038270	no_distances_found	no_distances_found	node3458	ERR228220	25
walker2013_P000074_lineage3.1.1_strain1	ERR038269	no_distances_found	no_distances_found	node3470	ERR228220	26
walker2013_P000084_lineage3.1.1_strain1	ERR040091	no_distances_found	no_distances_found	node2995	ERR040133	37
walker2013_P000086_lineage3_strain1	ERR039332	no_distances_found	no_distances_found	node1464	ERR2510883	99
