host_id	host_isolates	min_host_isolates_dis	max_host_isolates_dis	host_mrca_node	outgroup_isolate	outgroup_snp_dis
clark2013_A70136_lineage3_strain1	ERR040118;ERR040129;ERR040136	0	0	node39	ERR990545	16
clark2013_A70144_lineage3.1.2.1_strain1	ERR040119;ERR040123	3	3	node2062	ERR038753	14
guerra2014_KPS_14_lineage3.1.1_strain1	ERR176704;ERR190357	0	0	node3113	ERR245687	14
guerra2014_KPS_22_lineage3_strain1	ERR163961;ERR181751	0	0	node2100	ERR181797	12
guerra2014_KPS_26_lineage3.1.1_strain1	ERR126604;ERR212142	0	0	node3100	ERR181854	57
guerra2014_KPS_49_lineage3.1.1_strain1	ERR176657;ERR176731	0	0	node2804	ERR211997	13
guerra2014_KPS_71_lineage3.1.1_strain1	ERR176471;ERR212007	0	0	node3193	ERR245684	44
guerra2014_KPS_81_lineage3.1.1_strain1	ERR181715;ERR182044	1	1	node3181	ERR212029	37
guerra2014_KPS_82_lineage3.1.1_strain1	ERR181713;ERR181852	1	1	node3212	ERR221587	43
lieberman2016_P21_lineage3_strain1	SRR4035490;SRR4035491;SRR4035492;SRR4035493;SRR4035494;SRR4035495;SRR4035496;SRR4035497;SRR4035498;SRR4035500;SRR4035501;SRR4035502;SRR4035503;SRR4035504;SRR4035505;SRR4035506;SRR4035507;SRR4035508;SRR4035509;SRR4035511;SRR4035512;SRR4035513;SRR4035514;SRR4035515;SRR4035516;SRR4035517;SRR4035518;SRR4035519;SRR4035520;SRR4035522;SRR4035523;SRR4035524;SRR4035525;SRR4035526;SRR4035527;SRR4035528;SRR4035529;SRR4035530;SRR4035531;SRR4035533;SRR4035535;SRR4035536;SRR4035537;SRR4035538;SRR4035539;SRR4035540;SRR4035541;SRR4035542;SRR4035544;SRR4035545;SRR4035546;SRR4035547;SRR4035548;SRR4035550;SRR4035551;SRR4035552;SRR4035553;SRR4035555;SRR4035556;SRR4035558;SRR4036006;SRR4036008;SRR4036009;SRR4036010;SRR4036011;SRR4036012;SRR4036013;SRR4036014;SRR4036015;SRR4036016;SRR4036017;SRR4036019;SRR4036020;SRR4036021;SRR4036022;SRR4036023;SRR4036024;SRR4036026;SRR4036027;SRR4036028	0	8	node2186	ERR108163	19
nimmo2020_K0039_lineage3_strain1	SRR10315717;SRR10315718;SRR10315720;SRR11349183	0	1	node2171	ERR108163	18
nimmo2020_K0068_lineage3_strain1	SRR10315730;SRR10315731	0	0	node2183	ERR108163	20
nimmo2020_P0064_lineage3.1.1_strain1	SRR10315620;SRR10315622;SRR10315623	0	0	node3310	SRR10315654	13
ssengooba2016b_P1_lineage3.1.1_strain1	ERR990531;ERR990532	1	1	node3077	ERR072108	37
ssengooba2016b_P13_lineage3_strain1	ERR990539;ERR990540	0	0	node20	ERR990551	74
ssengooba2016b_P2_lineage3_strain1	ERR990541;ERR990542	1	1	node33	ERR990545	32
walker2013_P000003_lineage3.1.1_strain1	ERR038265;ERR038266	0	0	node3464	ERR228220	26
walker2013_P000008_lineage3.1.1_strain1	ERR046889;ERR046936	5	5	node3361	ERR2517626	28
walker2013_P000026_lineage3.1.1_strain1	ERR040087;ERR046770;ERR046940;ERR046942	0	1	node2838	ERR176464	47
walker2013_P000027_lineage3.1.1_strain1	ERR038298;ERR046769	1	1	node2838	ERR176464	47
walker2013_P000042_lineage3.1.2.1_strain1	ERR038262;ERR038263	0	0	node2004	ERR072084	143
walker2013_P000049_lineage3_strain1	ERR046846;ERR046895	0	0	node161	ERR278574	208
walker2013_P000076_lineage3.1.1_strain1	ERR039323;ERR046729;ERR046772;ERR046914	0	0	node2821	ERR176464	44
walker2013_P000081_lineage3.1.1_strain1	ERR046982;ERR046983	1	1	node3389	ERR228261	32
walker2013_P000092_lineage3.1.1_strain1	ERR046857;ERR046858	0	0	node3397	ERR294236	34
walker2013_P000094_lineage3.1.2.2_strain1	ERR039324;ERR046730;ERR046939;ERR046941	0	7	node1759	ERR270729	12
walker2013_P000107_lineage3_strain1	ERR038287;ERR038288	0	0	node1444	ERR270659	98
walker2013_P000149_lineage3.1.1_strain1	ERR025833;ERR025834	0	0	node3416	ERR386793	32
walker2013_P000152_lineage3_strain1	ERR046862;ERR046863	1	1	node853	ERR176825	32
walker2013_P000167_lineage3.1.1_strain1	ERR046866;ERR046867	0	0	node3472	ERR228220	24
walker2013_P000189_lineage3_strain1	ERR046779;ERR046780	2	2	node1236	ERR2510463	66
walker2013_P000201_lineage3.1.2.1_strain1	ERR038260;ERR038261	4	4	node1997	ERR2510382	158
walker2013_P000269_lineage3_strain1	ERR072021;ERR072022	0	0	node836	ERR2517587	44
walker2013_P000270_lineage3_strain1	ERR072023;ERR072024	0	0	node146	ERR2510495	200
walker2013_P000271_lineage3.1.2.2_strain1	ERR072025;ERR072029	2	2	node1761	ERR270729	14
walker2013_P000272_lineage3_strain1	ERR072026;ERR072040	0	0	node1076	ERR387031	23
walker2013_P000273_lineage3_strain1	ERR072031;ERR072032	1	1	node1412	ERR270747	96
walker2013_P000859_lineage3.1.1_strain1	ERR046860;ERR046861	0	0	node3459	ERR228220	26
walker2018b_ 879388_lineage3_strain1	ERR2516754;ERR2517068	1	1	node908	ERR2510519	82
walker2018b_ 972601_lineage3_strain1	ERR2516971;ERR2517074	2	2	node2567	ERR117677	228
walker2018b_1022926_lineage3_strain1	ERR2516782;ERR2516928	0	0	node1282	ERR230048	120
walker2018b_1065941_lineage3_strain1	ERR2516776;ERR2516830;ERR2516855;ERR2516869;ERR2516873;ERR2516919;ERR2517034;ERR2517048;ERR2517058	0	7	node1492	ERR228275	206
walker2018b_1091423_lineage3_strain1	ERR2516750;ERR2516947	0	0	node2594	ERR2517023	28
walker2018b_1190242_lineage3.1.1_strain1	ERR2516755;ERR2516860	4	4	node3353	ERR2517278	29
walker2018b_1202066_lineage3_strain1	ERR2516874;ERR2516878	2	2	node1594	ERR228245	78
walker2018b_1310837_lineage3_strain1	ERR2516818;ERR2517039	0	0	node2430	ERR117727	154
walker2018b_1326000_lineage3.1.2_strain1	ERR2516820;ERR2517095	2	2	node1946	ERR270732	214
walker2018b_1421109_lineage3.1.2.1_strain1	ERR2516837;ERR2516879;ERR2517012	0	0	node2018	ERR4553487	202
witney2017_006_lineage3_strain1	ERR1750883;ERR1750884	1	1	node846	ERR176825	36
witney2017_010_lineage3_strain1	ERR1750891;ERR1750892	1	1	node2364	ERR6362079	13
