sample	num_consensus_snps	number_N_calls
DRR019435	1142	112112
DRR019436	1141	113058
DRR019437	1135	113175
DRR019438	1132	112987
DRR019439	1135	113958
DRR019440	1139	113933
DRR019441	1110	117298
DRR019442	1110	116020
DRR019443	1131	112966
DRR019444	1132	113641
ERR023728	71	3888762
ERR023729	924	248720
ERR023730	833	477096
ERR023731	904	227635
ERR023732	925	184551
ERR023733	851	520262
ERR023734	875	380490
ERR023735	842	511306
ERR023736	878	358490
ERR023737	944	185240
ERR023738	925	234761
ERR023739	912	216268
ERR023740	899	268696
ERR023741	109	3112469
ERR023742	991	227060
ERR023743	1060	204378
ERR023744	889	348612
ERR023745	993	245302
ERR023746	952	179509
ERR023747	920	266881
ERR023748	921	269519
ERR023749	969	428768
ERR023750	985	375316
ERR023751	938	527918
ERR023752	1037	250646
ERR023753	143	2735735
ERR023754	884	347633
ERR023755	811	840528
ERR023756	956	303351
ERR023757	925	212331
ERR023758	922	202867
ERR023759	929	205327
ERR023760	919	223159
ERR023761	1008	177910
ERR023762	943	361147
ERR023763	1004	194284
ERR023764	991	190723
ERR024336	258	2901589
ERR024337	915	385905
ERR024338	881	380166
ERR024339	878	392332
ERR024340	1015	154974
ERR024341	939	328367
ERR024342	921	255618
ERR024343	951	196561
ERR024344	945	174254
ERR024345	959	151371
ERR024346	936	188518
ERR024347	945	191884
ERR024348	17	4248020
ERR024349	646	1336530
ERR024350	1062	160594
ERR024351	1020	226698
ERR024352	935	188164
ERR024353	903	244503
ERR024354	732	877983
ERR024355	941	187854
ERR024356	881	438832
ERR024357	930	248997
ERR024358	719	954178
ERR024359	949	162587
ERR025413	468	947401
ERR025414	946	153426
ERR025415	963	159213
ERR025416	1018	148080
ERR025417	946	163849
ERR025418	939	171328
ERR025419	936	174024
ERR025420	939	168837
ERR025421	940	167886
ERR025422	942	175599
ERR025423	944	175015
ERR025424	935	173706
ERR025425	435	954644
ERR025426	974	146349
ERR025427	963	158922
ERR025428	969	150095
ERR025429	980	151663
ERR025430	967	159503
ERR025431	954	188415
ERR025432	985	136754
ERR025433	962	148571
ERR025434	967	154772
ERR025435	976	142786
ERR025436	959	171877
ERR025437	30	878491
ERR025438	982	140250
ERR025439	1027	159810
ERR025440	938	170645
ERR025441	941	208198
ERR025442	1033	177958
ERR025443	1051	152427
ERR025444	1060	149288
ERR025445	1050	147711
ERR025446	1024	182644
ERR025447	1036	172594
ERR025448	1060	151228
ERR025449	290	2459547
