host_id	host_isolates	min_host_isolates_dis	max_host_isolates_dis	host_mrca_node	outgroup_isolate	outgroup_snp_dis
guerra2014_KPS_28_lineage1.1.3.2_strain1	ERR161063;ERR181910	0	0	node968	ERR216904	132
guerra2014_KPS_66_lineage1.1.2_strain1	ERR161106;ERR181971	2	2	node25	ERR176597	112
shanmugam2021_P01_lineage1.1.2_strain1	SRR11348215;SRR11348216	2	2	node305	ERR330696	208
shanmugam2021_P07_lineage1.1.2_strain1	SRR11348211;SRR11348212	0	0	node570	ERR046855	97
shanmugam2021_P08_lineage1.1.2_strain1	SRR11348209;SRR11348210	2	2	node295	ERR228279	172
shanmugam2021_P09_lineage1.1.2_strain1	SRR11348207;SRR11348208	1	1	node241	ERR117675	153
shanmugam2021_P11_lineage1.1.2_strain1	SRR11348202;SRR11348203	0	0	node586	SRR11348179	153
shanmugam2021_P15_lineage1.1.2_strain1	SRR11348194;SRR11348195	0	0	node248	SRR11348197	180
shanmugam2021_P16_lineage1.1.2_strain1	SRR11348191;SRR11348192	0	0	node252	SRR11348144	156
shanmugam2021_P18_lineage1.1.2_strain1	SRR11348187;SRR11348188	1	1	node267	SRR11348166	124
shanmugam2021_P30_lineage1.1.2_strain1	SRR11348161;SRR11348162	0	0	node344	SRR11348164	203
shanmugam2021_P34_lineage1.1.2_strain1	SRR11348152;SRR11348153	1	1	node174	ERR123934	154
shanmugam2021_P41_lineage1.1.2_strain1	SRR11348139;SRR11348140	1	1	node209	ERR2516986	145
walker2013_P000033_lineage1.1.2_strain1	ERR046832;ERR046900	0	0	node230	SRR11348198	164
walker2013_P000056_lineage1.1.2_strain1	ERR046905;ERR046907;ERR046915	0	1	node426	ERR270776	288
walker2013_P000180_lineage1.1.2_strain1	ERR046855;ERR046856	3	3	node574	SRR11348156	133
walker2013_P000202_lineage1.1.2_strain1	ERR046849;ERR046891	0	0	node552	ERR221575	61
walker2013_P000268_lineage1.1.2_strain1	ERR047001;ERR047002	0	0	node363	ERR403371	134
walker2018b_ 890166_lineage1.1.3.1_strain1	ERR2516763;ERR2516833;ERR2516881	0	0	node827	ERR123940	171
walker2018b_ 976009_lineage1.1.2_strain1	ERR2516941;ERR2517103	0	0	node486	ERR123932	139
walker2018b_1336836_lineage1.1.2_strain1	ERR2516986;ERR2516997	0	0	node206	SRR11348140	145
