Transcription-Units	Transcription units - binding sites	Transcription units - promoter of operon	Sequence - coordinates of DNA region	Genes of transcription unit	Ontology -  all instances of class	Ontology - all ancestors of entity	Ontology - all subclasses of class	Regulation - regulator proteins of transcription unit	Transcription units - regulators of operon	Names	Object ID	Direction	Left-End-Position	Citations	Data-Source
TU185E-6077			[TU185E-6077 2,017,740 &rarr; 2,023,432]	G185E-5979 // G185E-5978		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-6077	+		:EV-COMP-AINF:3743282518:fulcher	
TU185E-5481			[TU185E-5481 710,782 &rarr; 711,407]	G185E-4755 // G185E-4754		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-5481	+		:EV-COMP-AINF:3743282489:fulcher	
TU185E-6445			[TU185E-6445 2,752,848 &larr; 2,756,704]	G185E-6687 // G185E-6686 // G185E-6685 // G185E-6684		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-6445	-		:EV-COMP-AINF:3743282535:fulcher	
TU185E-5849			[TU185E-5849 1,442,767 &rarr; 1,443,399]	G185E-5461		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-5849	+		:EV-COMP-AINF:3743282507:fulcher	
TU185E-6810			[TU185E-6810 3,563,264 &larr; 3,564,286]	G185E-7461		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-6810	-		:EV-COMP-AINF:3743282553:fulcher	
TU185E-7178			[TU185E-7178 4,376,262 &larr; 4,382,851]	G185E-8194 // G185E-8193 // G185E-8192		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-7178	-		:EV-COMP-AINF:3743282571:fulcher	
TU185E-7442			[TU185E-7442 2,299,745 &rarr; 2,299,886]	G185E-6252		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-7442	+		:EV-COMP-AINF-SINGLE-DIRECTON:3743282584:fulcher	
TU185E-6061			[TU185E-6061 1,981,130 &rarr; 1,981,579]	G185E-5947		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-6061	+		:EV-COMP-AINF:3743282517:fulcher	
TU185E-5465			[TU185E-5465 684,410 &rarr; 694,787]	G185E-4729 // G185E-4728 // G185E-4727 // G185E-4726 // G185E-4725 // G185E-4724 // G185E-4723 // G185E-4722 // G185E-4721 // G185E-4720		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-5465	+		:EV-COMP-AINF:3743282488:fulcher	
TU185E-6429			[TU185E-6429 2,721,866 &larr; 2,724,183]	G185E-6656 // G185E-6655		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-6429	-		:EV-COMP-AINF:3743282534:fulcher	
TU185E-5833			[TU185E-5833 1,410,431 &rarr; 1,411,819]	G185E-5434		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-5833	+		:EV-COMP-AINF:3743282506:fulcher	
TU185E-6794			[TU185E-6794 3,538,505 &rarr; 3,539,851]	G185E-7435		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-6794	+		:EV-COMP-AINF:3743282553:fulcher	
TU185E-7162			[TU185E-7162 4,340,270 &rarr; 4,341,478]	G185E-8162		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-7162	+		:EV-COMP-AINF:3743282571:fulcher	
TU185E-7426			[TU185E-7426 2,393,411 &rarr; 2,393,641]	G185E-6338		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-7426	+		:EV-COMP-AINF-SINGLE-DIRECTON:3743282583:fulcher	
TU185E-6045			[TU185E-6045 1,953,864 &larr; 1,955,569]	G185E-5923 // G185E-5922		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-6045	-		:EV-COMP-AINF:3743282516:fulcher	
TU185E-5449			[TU185E-5449 650,407 &larr; 652,755]	G185E-4694 // G185E-4693 // G185E-4692		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-5449	-		:EV-COMP-AINF:3743282488:fulcher	
TU185E-6413			[TU185E-6413 2,692,172 &rarr; 2,692,521]	G185E-6622		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-6413	+		:EV-COMP-AINF:3743282534:fulcher	
TU185E-5817			[TU185E-5817 1,374,322 &larr; 1,376,168]	G185E-5403 // G185E-5402		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-5817	-		:EV-COMP-AINF:3743282505:fulcher	
TU185E-6778			[TU185E-6778 3,488,089 &rarr; 3,489,063]	G185E-7387 // G185E-7386		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-6778	+		:EV-COMP-AINF:3743282552:fulcher	
TU185E-7146			[TU185E-7146 4,309,047 &rarr; 4,310,814]	G185E-8132 // G185E-8131		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-7146	+		:EV-COMP-AINF:3743282570:fulcher	
TU185E-6029			[TU185E-6029 1,912,153 &larr; 1,912,920]	G185E-5877		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-6029	-		:EV-COMP-AINF:3743282515:fulcher	
TU185E-5433			[TU185E-5433 622,329 &rarr; 622,646]	G185E-4664		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-5433	+		:EV-COMP-AINF:3743282487:fulcher	
TU185E-6397			[TU185E-6397 2,645,771 &larr; 2,646,673]	G185E-6590		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-6397	-		:EV-COMP-AINF:3743282533:fulcher	
TU185E-5801			[TU185E-5801 1,340,578 &rarr; 1,340,955]	G185E-5367 // G185E-5366		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-5801	+		:EV-COMP-AINF:3743282504:fulcher	
TU185E-6762			[TU185E-6762 3,442,656 &larr; 3,445,988]	G185E-7342		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-6762	-		:EV-COMP-AINF:3743282551:fulcher	
TU185E-7130			[TU185E-7130 4,251,085 &rarr; 4,252,866]	G185E-8093		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-7130	+		:EV-COMP-AINF:3743282569:fulcher	
