host_id	host_isolates	min_host_isolates_dis	max_host_isolates_dis	host_mrca_node	outgroup_isolate	outgroup_snp_dis
walker2013_P000030_lineage4.1.2.1_strain1	ERR025847;ERR025848;ERR039344	0	1	node1801	ERR270673	84
walker2013_P000071_lineage4.1.1.1_strain1	ERR046825;ERR046943;ERR046986	0	4	node1236	ERR046842	11
walker2013_P000083_lineage4.1.4_strain1	ERR046864;ERR046865	0	0	node1359	ERR4972482	189
walker2013_P000089_lineage4.1.1.3.1_strain1	ERR038253;ERR038256;ERR038257;ERR039346;ERR046904;ERR046910;ERR046919	0	3	node746	ERR228198	11
walker2013_P000095_lineage4.1.1.3.1_strain1	ERR046852;ERR046853	1	1	node787	ERR228198	11
walker2013_P000125_lineage4.1.1.3.1_strain1	ERR038274;ERR038276	1	1	node900	ERR230097	12
walker2013_P000128_lineage4.1.1.1_strain1	ERR039325;ERR039326;ERR046912;ERR046916	0	3	node1015	ERR2510322	129
walker2013_P000159_lineage4.1.1.3_strain1	ERR046859;ERR046984	0	0	node407	ERR2510610	122
walker2013_P000165_lineage4.1.1.3.1_strain1	ERR038296;ERR038297	0	0	node842	ERR117689	14
walker2013_P000176_lineage4.1.1.3.1_strain1	ERR046797;ERR046798;ERR046799;ERR046822;ERR046843;ERR046908	0	0	node920	ERR230097	13
walker2013_P000225_lineage4.1.1.3.1_strain1	ERR038294;ERR038295;ERR046785;ERR046795	0	3	node845	ERR117689	13
walker2013_P000226_lineage4.1.1.3.1_strain1	ERR046784;ERR046786;ERR046787;ERR046788;ERR046789;ERR046790;ERR046793;ERR046794;ERR046800	0	9	node792	ERR117689	12
walker2013_P000227_lineage4.1.1.3.1_strain1	ERR046791;ERR046792;ERR046911;ERR046913	1	10	node740	ERR046869	210
walker2013_P000233_lineage4.1.1.3_strain1	ERR046868;ERR046869	0	0	node953	ERR040115	159
walker2013_P000234_lineage4.1.2.1_strain1	ERR046874;ERR046875	1	1	node2687	ERR2510769	100
walker2013_P000242_lineage4.1.2.1_strain1	ERR046872;ERR046873	4	4	node2099	ERR330738	90
walker2013_P000260_lineage4.1.1.3_strain1	ERR047000;ERR072028	0	0	node175	ERR1750913	48
walker2013_P000320_lineage4.1.1.3_strain1	ERR072088;ERR072089;ERR072090	0	0	node536	ERR970448	132
walker2018b_ 962040_lineage4.1.1.3.1_strain1	ERR2516816;ERR2516831	1	1	node825	ERR046791	12
walker2018b_06TB_0294_lineage4.1.2.1_strain1	ERR2510826;ERR2510827	0	0	node1764	SRR7592336	26
walker2018b_06TB_0385_lineage4.1.2.1_strain1	ERR2510836;ERR2510837	2	2	node2829	ERR2517262	80
walker2018b_1016422_lineage4.1.4_strain1	ERR2516942;ERR2517057	0	0	node1341	ERR386836	53
walker2018b_1140477_lineage4.1.2.1_strain1	ERR2516859;ERR2517007	0	0	node2850	ERR2517631	47
walker2018b_1170666_lineage4.1.2.1_strain1	ERR2516774;ERR2516993	1	1	node1959	SRR5486901	30
walker2018b_1176470_lineage4.1.1.3.1_strain1	ERR2516768;ERR2516877	1	1	node875	ERR278563	14
walker2018b_1374937_lineage4.1.4_strain1	ERR2516766;ERR2517080	0	0	node1336	ERR386836	52
walker2018b_RIVM_100_lineage4.1.2.1_strain1	ERR2517260;ERR2517551	1	1	node2420	ERR114496	102
walker2018b_RIVM_244_lineage4.1.2.1_strain1	ERR2517266;ERR2517409	1	1	node2270	ERR6362617	129
walker2018b_RIVM_404_lineage4.1.2.1_strain1	ERR2517129;ERR2517543	0	0	node2577	ERR2517462	19
walker2018b_RIVM_9_lineage4.1.2.1_strain1	ERR2517272;ERR2517481	0	0	node1919	SRR16088591	130
witney2017_005_lineage4.1.1.3_strain1	ERR1750881;ERR1750882	0	0	node376	ERR1750897	19
witney2017_013_lineage4.1.1.3_strain1	ERR1750897;ERR1750898	0	0	node386	ERR1750882	19
witney2017_014_lineage4.1.1.3_strain1	ERR1750899;ERR1750900	0	0	node383	ERR1750897	19
witney2017_030_lineage4.1.2.1_strain1	ERR1750931;ERR1750932	0	0	node2087	ERR6362480	79
witney2017_032_lineage4.1.1.3_strain1	ERR1750935;ERR1750936	0	0	node688	ERR3340714	11
wollenberg2017_100_lineage4.1.2.1_strain1	SRR1163416;SRR1168976;SRR1172440	0	1	node2355	SRR13232753	13
wollenberg2017_6_lineage4.1.2.1_strain1	SRR1162494;SRR1181081;SRR1181119	0	0	node2318	SRR10379888	97
wollenberg2017_63_lineage4.1.2.1_strain1	SRR1163309;SRR1163447;SRR1168963;SRR1169102;SRR1172239;SRR1172313	0	1	node2339	SRR1168976	20
wollenberg2017_73_lineage4.1.2.1_strain1	SRR1163366;SRR1168970;SRR1172406	0	0	node1999	SRR16088243	101
wollenberg2017_80_lineage4.1.2.1_strain1	SRR1162534;SRR1180970;SRR1183966	0	0	node1979	SRR16088570	42
092ec6ed-51a1-48d2-b140-9403af4bf802_lineage4.2.1_strain1	SRR10379979;SRR5163781	0	0	node1130	SRR6807731	13
1014d30b-99ae-4f65-9dd9-eb53e7f4d37a_lineage4.2.1_strain1	SRR7516429;SRR7516459	0	0	node595	SRR13232424	17
1274a209-b723-4a76-b945-491d1e9da47f_lineage4.2.1_strain1	SRR3743484;SRR6807687	3	3	node904	SRR6807676	12
14df23bf-0a02-4767-88f7-ab9b02d7319a_lineage4.2.1.1_strain1	SRR6807669;SRR6807670	5	5	node407	SRR5153920	21
1bbf3743-855f-4dd1-a719-0a044cd12d4b_lineage4.2.1_strain1	SRR6807731;SRR6807732	7	7	node1134	SRR3743449	15
1cef6c8b-19d2-4161-ab05-d45d30519368_lineage4.2.1_strain1	SRR3743459;SRR6807712	1	1	node1021	SRR10379950	11
1f67461f-b3c3-44bf-a190-059f76a488a2_lineage4.2.1_strain1	SRR3743491;SRR6807759	0	0	node945	SRR10379941	12
31b5105c-91e1-4d10-bc57-b46f25f4dc95_lineage4.2.1_strain1	SRR10380013;SRR10380014	0	0	node805	SRR10380037	11
33baf186-5d13-4052-abdd-48eafaa46f00_lineage4.2.1_strain1	SRR3743394;SRR6807684	3	3	node1085	SRR5153882	13
34339efd-24b8-44c7-8f7f-321a80b28577_lineage4.2.1_strain1	SRR10379978;SRR3743398	2	2	node875	SRR10380076	13
3aa13b89-9c43-405a-bcd4-94cf1703c3f3_lineage4.2.1_strain1	SRR3743437;SRR6807689	2	2	node810	SRR10380076	16
3fc8fa2b-ca48-47db-83ee-e1af7e78058e_lineage4.2.1_strain1	SRR6807735;SRR6807736	0	0	node797	SRR10380076	13
4825f078-70c5-42bf-ab5a-cfdaeb784a71_lineage4.2.1_strain1	SRR3743403;SRR6807716	0	0	node1152	SRR10380040	11
49228d5b-1745-49ee-8960-c5c861a21db3_lineage4.2.1_strain1	SRR10380165;SRR10380166	2	2	node833	SRR6807711	11
4a359c8e-be74-4f42-accc-99e3208cec6b_lineage4.2.1_strain1	SRR10379876;SRR10379877	0	0	node1174	SRR10379950	12
4ec79465-c741-4ff1-8c58-c58aa0b6e6e9_lineage4.2.1.1_strain1	SRR10379900;SRR10379901	2	2	node431	SRR10380075	12
504c54c5-3734-4151-a859-21d6dc725e24_lineage4.2.1_strain1	SRR10379953;SRR10379955	4	4	node1044	SRR5153882	11
56758781-119a-40e1-907b-98a118836cf1_lineage4.2.1_strain1	SRR6807691;SRR6807692	3	3	node768	SRR10380138	13
56f15132-4a86-49da-ae0e-fcbcbc5f6d27_lineage4.2.1_strain1	SRR5153921;SRR6807757	5	5	node926	SRR10380117	12
5b517fef-a274-4e52-8401-e52c7ea4b4c8_lineage4.2.1_strain1	SRR10380041;SRR10380052	0	0	node978	SRR13232554	17
65d72352-4db4-4b29-9368-9047690a5e7b_lineage4.2.1_strain1	SRR10380070;SRR10380071	0	0	node830	ERR2510688	21
69abafe6-82df-4f6b-ae05-8365d8acf565_lineage4.2.1_strain1	SRR3743402;SRR6807702	2	2	node1094	SRR10380240	13
6caff9be-7741-48bb-9281-1786a56ff6f4_lineage4.2.1_strain1	SRR3743486;SRR6807742	5	5	node843	SRR10380076	11
6e2adddd-f9c1-492c-9a57-b4de0d39be69_lineage4.2.1_strain1	SRR3743390;SRR6807711	2	2	node826	ERR2510688	24
71c5d846-a0b3-491e-aa87-75ce6d96bce7_lineage4.2.1_strain1	SRR10379948;SRR10379949	1	1	node751	SRR10380017	11
7777b9bd-edf4-454b-847d-622186963cb1_lineage4.2.1_strain1	SRR10379912;SRR10379913	0	0	node787	SRR10380213	21
789f1880-7525-4189-b702-455b1c00feb2_lineage4.2.1_strain1	SRR10380002;SRR10380003	2	2	node984	SRR10380039	11
802e5a96-d20b-43c9-912f-7ec9f50e8b78_lineage4.2.1_strain1	SRR10380147;SRR10380148	0	0	node1012	SRR10380076	13
890d2225-30ce-43c0-baf6-58983e9db27b_lineage4.2.1_strain1	SRR10380085;SRR10380097	1	1	node780	SRR10380076	15
894f8d48-9835-488e-9c13-03fafa5c6649_lineage4.2.1_strain1	SRR16088076;SRR16088376	0	0	node542	SRR16087993	116
92c91227-a874-4886-99be-c62df8fd2058_lineage4.2.1.1_strain1	SRR10380090;SRR10380091	0	0	node421	SRR10380156	13
ac048c9d-10b0-49ce-a993-faa9145f25f9_lineage4.2.1.1_strain1	SRR10380058;SRR10380059	0	0	node440	SRR16088547	52
b86d252a-20da-42e1-aebb-c27e4092b0b1_lineage4.2.1_strain1	SRR3743391;SRR5153835	0	0	node746	SRR10380017	15
b9b9a0bf-15e0-4c10-8d0c-35f6675ea806_lineage4.2.1_strain1	SRR10380160;SRR10380161	5	5	node907	SRR10380076	14
b9d640db-3546-496c-862d-21e79d78d419_lineage4.2.1_strain1	SRR10380009;SRR10380010	0	0	node885	SRR10380093	11
ba7ab977-d478-4526-8828-22d63e53fe99_lineage4.2.1_strain1	SRR5153838;SRR6807714	3	3	node603	SRR10380012	13
baca1a2e-398a-421d-9a54-4b4b601ccf11_lineage4.2.1_strain1	SRR10379956;SRR10379957	4	4	node753	SRR10380017	13
bec56f16-a5f3-4338-b978-995aec3fd6c9_lineage4.2.1_strain1	SRR10380118;SRR10380120	4	4	node1034	SRR10380076	14
c0d820fa-74d9-4ba2-b05a-e0887624f833_lineage4.2.1_strain1	SRR10380004;SRR10380005	0	0	node992	SRR10380039	12
c4d50463-a287-4bc0-b507-2f48ee59f68a_lineage4.2.1_strain1	SRR3743498;SRR6807718	0	0	node893	ERR2510664	12
c6675e25-7550-4510-ae77-b3b3ec953492_lineage4.2.1_strain1	SRR3743382;SRR6807713	1	1	node864	SRR10380093	16
c961232e-393d-4e77-8ef4-b9eaf4bbd03f_lineage4.2.1.1_strain1	SRR10380251;SRR10380252	1	1	node363	SRR6458459	15
caa05a98-db7a-46be-a395-cdfb53d50a16_lineage4.2.1_strain1	SRR10379932;SRR10380253	1	1	node800	SRR10380037	12
ce93e57c-1707-42f1-a523-a2a68df22c36_lineage4.2.1_strain1	SRR3743472;SRR6807690	0	0	node1089	SRR6807702	16
d424acd0-9572-4fb4-931b-6672a4e3332b_lineage4.2.1_strain1	SRR5153846;SRR5153860	1	1	node1057	SRR3743435	35
da97a593-c231-49d7-80f4-ae21f3292de8_lineage4.2.1_strain1	SRR3743385;SRR6807755	0	0	node1070	SRR5153882	11
dfc45eb5-5488-4ccb-aab9-39c22453a791_lineage4.2.1_strain1	SRR10379889;SRR10379890	1	1	node731	SRR5153230	17
e2949f4d-929b-42a1-b470-1ea25f1d4f59_lineage4.2.1_strain1	SRR10380022;SRR3743396	2	2	node775	SRR10380017	14
ea5f96dc-c56e-4ca4-ba72-b70e6f0e2185_lineage4.2.1_strain1	SRR10380018;SRR3743389	1	1	node1019	SRR10380076	15
eac4fbf3-6270-4305-ac40-67a3aeed707d_lineage4.2.1_strain1	SRR10380121;SRR10380122	4	4	node718	SRR5153230	18
eb3fe5b1-165a-4ece-a5d1-09c55f86377d_lineage4.2.1_strain1	SRR10379916;SRR10379917	4	4	node1015	SRR10380076	14
eb8e3a29-2b24-4f8a-858c-25d6cc9aaf61_lineage4.2.1.1_strain1	SRR10380153;SRR10380154	1	1	node413	SRR5153920	21
ebd165c7-a87a-4e42-bdea-dad8f5ddb27c_lineage4.2.1.1_strain1	SRR5153880;SRR5153881	0	0	node409	SRR5153920	21
f20f347e-0ab8-4b27-b7ff-cf31accf57ad_lineage4.2.1_strain1	SRR10379982;SRR5153910	4	4	node1063	SRR10379950	13
f5ccfdc0-74fe-4c9d-913e-27c80d10fafe_lineage4.2.1_strain1	SRR6807693;SRR6807694	3	3	node1028	SRR3743460	11
f788a073-6179-4af7-8706-31ecefdf4516_lineage4.2.1_strain1	SRR3743378;SRR3743381	3	3	node938	SRR5153865	12
f836de48-31e2-4a39-ae66-cab9ef6a8f0e_lineage4.2.1_strain1	SRR5153854;SRR6807679	0	0	node1157	SRR6807716	11
hu2021_ADR17_lineage4.2.2_strain1	SRR13423561;SRR13423567	9	9	node19	ERR2517222	200
liu2020_F_lineage4.2.2_strain1	ERR3559274;ERR3559277;ERR3559278;ERR3559279;ERR3559280;ERR3559281;ERR3559282;ERR3559284;ERR3559285;ERR3559286;ERR3559290;ERR3559291;ERR3559292;ERR3559294;ERR3559295;ERR3559296;ERR3559297;ERR3559298;ERR3559299;ERR3559300;ERR3559301;ERR3559302;ERR3559304;ERR3559305;ERR3559306;ERR3559307;ERR3561760	0	4	node27	ERR2517609	220
walker2013_P000156_lineage4.2.2_strain1	ERR025842;ERR025843;ERR025844;ERR025846;ERR039345;ERR046922;ERR072095	0	3	node289	ERR230058	260
