TU_id	start	end	Direction	TU_genes	pathway_id	pathway_names
TU185E-6077	2017740	2023432	+	G185E-5979 ; G185E-5978		-
TU185E-5481	710782	711407	+	G185E-4755 ; G185E-4754		-
TU185E-6445	2752848	2756704	-	G185E-6687 ; G185E-6686 ; G185E-6685 ; G185E-6684	PWY-5964;PWY-6969	guanylyl molybdenum cofactor biosynthesis;-
TU185E-5849	1442767	1443399	+	G185E-5461		-
TU185E-6810	3563264	3564286	-	G185E-7461		-
TU185E-7178	4376262	4382851	-	G185E-8194 ; G185E-8193 ; G185E-8192		-
TU185E-7442	2299745	2299886	+	G185E-6252		-
TU185E-6061	1981130	1981579	+	G185E-5947		-
TU185E-5465	684410	694787	+	G185E-4729 ; G185E-4728 ; G185E-4727 ; G185E-4726 ; G185E-4725 ; G185E-4724 ; G185E-4723 ; G185E-4722 ; G185E-4721 ; G185E-4720		-
TU185E-6429	2721866	2724183	-	G185E-6656 ; G185E-6655		-
TU185E-5833	1410431	1411819	+	G185E-5434		-
TU185E-6794	3538505	3539851	+	G185E-7435		-
TU185E-7162	4340270	4341478	+	G185E-8162		-
TU185E-7426	2393411	2393641	+	G185E-6338		-
TU185E-6045	1953864	1955569	-	G185E-5923 ; G185E-5922		-
TU185E-5449	650407	652755	-	G185E-4694 ; G185E-4693 ; G185E-4692	PWY-7993	-;&beta;-dihydromenaquinone-9 biosynthesis
TU185E-6413	2692172	2692521	+	G185E-6622		-
TU185E-5817	1374322	1376168	-	G185E-5403 ; G185E-5402		-
TU185E-6778	3488089	3489063	+	G185E-7387 ; G185E-7386		-
TU185E-7146	4309047	4310814	+	G185E-8132 ; G185E-8131		-
TU185E-6029	1912153	1912920	-	G185E-5877		-
TU185E-5433	622329	622646	+	G185E-4664		-
TU185E-6397	2645771	2646673	-	G185E-6590		-
TU185E-5801	1340578	1340955	+	G185E-5367 ; G185E-5366		-
TU185E-6762	3442656	3445988	-	G185E-7342		-
TU185E-7130	4251085	4252866	+	G185E-8093	PWY0-1337 ; FAO-PWY	fatty acid &beta;-oxidation I;oleate &beta;-oxidation
TU185E-6013	1856774	1858537	+	G185E-5838 ; G185E-5837		-
TU185E-5417	586394	590970	+	G185E-4630 ; G185E-4629 ; G185E-4628 ; G185E-4627 ; G185E-4626	PROSYN-PWY ; PWY-3341	-;L-proline biosynthesis III;L-proline biosynthesis I
TU185E-6381	2617667	2618908	-	G185E-6565		-
TU185E-5785	1300304	1301215	+	G185E-5339	PWY1G-0	
TU185E-6746	3415435	3415989	-	G185E-7315		-
TU185E-7114	4211080	4211784	-	G185E-8056		-
TU185E-5997	1816189	1818517	+	G185E-5806 ; G185E-5805	GLYCOLYSIS;PWY-5148 ; PWY0-1337	glycolysis I (from glucose 6-phosphate);oleate &beta;-oxidation;acyl-CoA hydrolysis
TU185E-5401	563564	564934	+	G185E-4601		-
TU185E-6365	2583884	2584408	+	G185E-6535		-
TU185E-5769	1264314	1264556	+	G185E-5302	PWY0-1337 ; ILEUDEG-PWY	oleate &beta;-oxidation;L-isoleucine degradation I
TU185E-6730	3381375	3382622	-	G185E-7283		-
TU185E-7098	4186634	4189288	+	G185E-8027 ; G185E-8026		-
TU185E-5981	1779930	1780699	+	G185E-5763 ; G185E-5762		-
TU185E-5385	543174	544730	+	G185E-4578		-
TU185E-6349	2567504	2568890	+	G185E-6515 ; G185E-6514		-
TU185E-5753	1229391	1230548	-	G185E-5266		-
TU185E-6714	3343176	3343820	-	G185E-7241		-
TU185E-7082	4162306	4164998	+	G185E-8007 ; G185E-8006		-
TU185E-5247	193626	194111	+	G185E-4282		-
TU185E-5369	506561	506971	-	G185E-4545		-
TU185E-7714	119915	122173	-	G185E-4220		-
TU185E-6333	2541644	2544621	-	G185E-6486 ; G185E-6485 ; G185E-6484	PWY-7781	&omega;-sulfo-II-dihydromenaquinone-9 biosynthesis;-
TU185E-5737	1205984	1206418	-	G185E-5243		-
TU185E-6698	3310714	3312838	-	G185E-7213 ; G185E-7212	PWY-7743 ; PWY-7745	
TU185E-7066	4129893	4130357	-	G185E-7973		-
TU185E-5231	160869	161474	+	G185E-4250		-
TU185E-5353	462135	463307	+	G185E-4509		-
TU185E-7698	186495	186623	-	G185E-4275		-
TU185E-6317	2512539	2515244	+	G185E-6456	PWY-5482 ; PYRUVDEHYD-PWY	pyruvate decarboxylation to acetyl CoA;pyruvate fermentation to acetate II
TU185E-5721	1182391	1183455	+	G185E-5221		-
TU185E-6685	3239829	3241171	-	G185E-7179 ; G185E-7178		-
TU185E-7050	4099647	4100510	+	G185E-7943		-
TU185E-5215	125643	130541	-	G185E-4224		-
TU185E-5337	424777	434679	-	G185E-4479		-
TU185E-7682	268663	269817	+	G185E-4345		-
TU185E-6301	2474864	2475970	-	G185E-6420	VALSYN-PWY ; VALDEG-PWY ; ALANINE-VALINESYN-PWY ; PWY-3001 ; ILEUSYN-PWY ; ILEUDEG-PWY ; BRANCHED-CHAIN-AA-SYN-PWY ; LEUSYN-PWY	L-alanine biosynthesis I;L-valine biosynthesis;L-valine degradation I;superpathway of branched chain amino acid biosynthesis;L-leucine biosynthesis;L-isoleucine degradation I;superpathway of L-isoleucine biosynthesis I;L-isoleucine biosynthesis I (from threonine)
TU185E-5705	1159375	1160433	-	G185E-5196 ; G185E-5195		-
TU185E-6669	3203394	3204290	-	G185E-7146		-
TU185E-7034	4077884	4078450	-	G185E-7918		-
TU185E-5199	80624	82668	+	G185E-4188 ; G185E-4187		-
TU185E-7402	2558877	2559569	-	G185E-6504		-
TU185E-5321	385173	385943	-	G185E-4440	PWY0-381-1 ; PWY-6952-1	glycerol and glycerophosphodiester degradation;glycerophosphodiester degradation
TU185E-7666	392696	394045	-	G185E-4451		-
TU185E-6285	2441811	2443214	-	G185E-6390 ; G185E-6389		-
TU185E-5689	1127089	1127883	+	G185E-5166		-
TU185E-6653	3173160	3174017	-	G185E-7112		-
TU185E-7018	4047705	4052883	-	G185E-7889 ; G185E-7888 ; G185E-7887 ; G185E-7886 ; G185E-7885 ; G185E-7884	FOLSYN-PWY ; PWY-6612 ; PWY-6147; PWY-6614	superpathway of tetrahydrofolate biosynthesis;superpathway of tetrahydrofolate biosynthesis and salvage;6-hydroxymethyl-dihydropterin diphosphate biosynthesis I;superpathway of tetrahydrofolate biosynthesis;tetrahydrofolate biosynthesis;superpathway of tetrahydrofolate biosynthesis and salvage;-
TU185E-5183	51185	51727	-	G185E-4161		-
TU185E-7386	2710075	2710335	+	G185E-6642		-
TU185E-5305	351525	353036	+	G185E-4412 ; G185E-4411 ; G185E-4410		-
TU185E-7650	500350	501018	-	G185E-4539	PWY-6893 ; PWY-6894	thiamine diphosphate biosynthesis II (Bacillus);thiamine diphosphate biosynthesis I (E. coli)
TU185E-6269	2405666	2405956	-	G185E-6354		-
TU185E-5673	1094670	1094864	-	G185E-5135		-
TU185E-6637	3126240	3132714	-	G185E-7074 ; G185E-7073 ; G185E-7072 ; G185E-7071 ; G185E-7070 ; G185E-7069		-
TU185E-7002	4021425	4023803	-	G185E-7858 ; G185E-7857	TRNA-CHARGING-PWY	tRNA charging;-
TU185E-5167	25913	26881	-	G185E-4135		-
TU185E-7370	2878571	2879929	-	G185E-6799		-
TU185E-5289	301735	302028	-	G185E-4372		-
TU185E-7634	681885	684272	-	G185E-4719		-
TU185E-6253	2376571	2377441	+	G185E-6323 ; G185E-6322		-
TU185E-5657	1057646	1057963	-	G185E-5103	PWY-6630 ; TYRSYN ; PHESYN	L-phenylalanine biosynthesis I;L-tyrosine biosynthesis I;superpathway of L-tyrosine biosynthesis
TU185E-6621	3095111	3096874	+	G185E-7036		-
TU185E-6986	3979499	3985445	-	G185E-7822 ; G185E-7821 ; G185E-7820 ; G185E-7819 ; G185E-7818 ; G185E-7817	PWY-6947 ; PWY-6945 ; PWY-6946	superpathway of cholesterol degradation II (cholesterol dehydrogenase);;cholesterol degradation to androstenedione I (cholesterol oxidase)
TU185E-7354	3014663	3014965	-	G185E-6947		-
TU185E-5273	267863	268627	-	G185E-4344		-
TU185E-7618	881075	881464	-	G185E-4934		-
TU185E-6237	2344411	2346180	+	G185E-6294		-
TU185E-7615	894972	895628	-	G185E-4951		-
TU185E-6234	2343027	2343332	+	G185E-6291		-
TU185E-5638	1017217	1019965	-	G185E-5068 ; G185E-5067		-
TU185E-6602	3064515	3067124	-	G185E-7002 ; G185E-7001	DAPLYSINESYN-PWY	-
TU185E-6967	3909890	3910468	+	G185E-7768		-
TU185E-7335	3193393	3194151	+	G185E-7136		-
TU185E-5254	216269	218344	+	G185E-4304		-
TU185E-7599	967898	968305	+	G185E-5025		-
TU185E-6218	2291962	2306986	-	G185E-6251 ; G185E-6250	PWY-7740	-
TU185E-5622	981424	982554	-	G185E-5038	SULFATE-CYS-PWY ; SER-GLYSYN-PWY ; SERSYN-PWY ; PYRIDOXSYN-PWY	superpathway of sulfate assimilation and cysteine biosynthesis;superpathway of L-serine and glycine biosynthesis I;L-serine biosynthesis I;pyridoxal 5'-phosphate biosynthesis I
TU185E-6586	3031040	3031537	-	G185E-6967		-
TU185E-6951	3880286	3880653	-	G185E-7739 ; G185E-7738		-
TU185E-7319	3357225	3357428	-	G185E-7256		-
TU185E-7583	1095078	1096451	-	G185E-5137		-
TU185E-6202	2256084	2256428	-	G185E-6209		-
TU185E-5606	944343	944735	+	G185E-5001		-
TU185E-6570	3009344	3010686	+	G185E-6940 ; G185E-6939		-
TU185E-6935	3850372	3854793	-	G185E-7712 ; G185E-7711 ; G185E-7710 ; G185E-7709	PWY0-1305;PWY-6938	L-glutamate degradation IX (via 4-aminobutanoate);NADH repair;-
TU185E-7303	3467606	3467926	+	G185E-7361		-
TU185E-7567	1237209	1238192	-	G185E-5276		-
TU185E-6186	2231026	2231454	+	G185E-6187	PWY-6902	chitin degradation II (Vibrio)
TU185E-5590	916477	917646	-	G185E-4972		-
TU185E-6554	2981482	2981754	+	G185E-6910		-
TU185E-5957	1720017	1720802	+	G185E-5713		-
TU185E-6919	3822262	3824584	-	G185E-7681 ; G185E-7680		-
TU185E-7287	3566696	3566896	-	G185E-7464		-
TU185E-7551	1301755	1302681	-	G185E-5341		-
TU185E-6170	2201277	2201579	+	G185E-6152		-
TU185E-5574	890388	891482	+	G185E-4946		-
TU185E-6538	2963586	2964242	+	G185E-6881		-
TU185E-5941	1689303	1689920	-	G185E-5683		-
TU185E-6903	3786314	3787489	+	G185E-7648	TRESYN-PWY ; TREHALOSESYN-PWY ; PWY-7900 ; PWY-881 ; PWY-6113 ; PWYG-321	mycolate biosynthesis;superpathway of mycolate biosynthesis;glycogen biosynthesis III (from &alpha;-maltose 1-phosphate);trehalose biosynthesis II;
TU185E-7271	3691141	3691620	+	G185E-7578		-
TU185E-7535	1413260	1413940	+	G185E-5437		-
TU185E-6154	2153235	2156592	-	G185E-6106 ; G185E-6105 ; G185E-6104	PWY-7896 ; DETOX1-PWY-1 ; DETOX1-PWY	-;isoniazid activation;reactive oxygen species degradation;superoxide radicals degradation
TU185E-5558	852396	853853	+	G185E-4906		-
TU185E-6522	2934198	2934872	+	G185E-6850	PYRIDOXSYN-PWY	pyridoxal 5'-phosphate biosynthesis I
TU185E-5925	1646186	1653256	+	G185E-5648 ; G185E-5647 ; G185E-5646 ; G185E-5645 ; G185E-5644 ; G185E-5643	PWY0-1021 ; PWY-6823 ; PWY-7250	molybdenum cofactor biosynthesis;L-alanine biosynthesis III;[2Fe-2S] iron-sulfur cluster biosynthesis;-
TU185E-6887	3743198	3743455	-	G185E-7622		-
TU185E-7255	3834892	3835200	+	G185E-7693		-
TU185E-7519	1612342	1612950	-	G185E-5618		-
TU185E-6138	2125340	2125819	+	G185E-6071		-
TU185E-5542	828140	828892	+	G185E-4881		-
TU185E-6506	2896013	2897803	-	G185E-6814	PWY490-4	L-asparagine biosynthesis III (tRNA-dependent)
